time,rnti,link,tbs_dl
17:53:02.050331,"0xcd58,",[DL],43
17:53:02.074885,"0xcd58,",[DL],11
17:53:02.082093,"0xcd58,",[DL],125
17:53:02.129306,"0xcd58,",[DL],26
17:53:02.131362,"0xcd58,",[DL],11
17:53:02.293936,"0xcd58,",[DL],67
17:53:02.365935,"0xcd58,",[DL],67
17:53:02.446935,"0xcd58,",[DL],67
17:53:02.496938,"0xcd58,",[DL],22
17:53:02.517836,"0xcd58,",[DL],67
17:53:02.518931,"0xcd58,",[DL],177
17:53:02.542818,"0xcd58,",[DL],67
17:53:02.544566,"0xcd58,",[DL],22
17:53:02.547625,"0xcd58,",[DL],0
17:53:02.596918,"0xcd58,",[DL],22
17:53:03.037028,"0xcd58,",[DL],53
17:53:03.039808,"0xcd58,",[DL],67
17:53:03.041454,"0xcd58,",[DL],26
17:53:03.041951,"0xcd58,",[DL],53
17:53:03.044949,"0xcd58,",[DL],53
17:53:03.091984,"0xcd58,",[DL],22
17:53:03.898868,"0xcd58,",[DL],26
17:53:03.899414,"0xcd58,",[DL],53
17:53:03.900201,"0xcd58,",[DL],81
17:53:03.944974,"0xcd58,",[DL],22
17:53:04.000000,"0xcd58,",[DL],22
17:53:05.000000,"0xcd58,",[DL],22
17:53:06.000000,"0xcd58,",[DL],22
17:53:07.000000,"0xcd58,",[DL],22
17:53:08.000000,"0xcd58,",[DL],22
17:53:09.000000,"0xcd58,",[DL],22
17:53:10.000000,"0xcd58,",[DL],22
17:53:11.000000,"0xcd58,",[DL],22
17:53:12.000000,"0xcd58,",[DL],22
17:53:13.000000,"0xcd58,",[DL],22
17:53:13.968229,"0xcd58,",[DL],22
17:53:13.973776,"0xcd58,",[DL],22
17:53:14.048120,"0xcd58,",[DL],22
17:53:14.053844,"0xcd58,",[DL],22
17:53:14.128130,"0xcd58,",[DL],22
17:53:14.133812,"0xcd58,",[DL],22
17:53:14.134866,"0xcd58,",[DL],193
17:53:14.207067,"0xcd58,",[DL],193
17:53:14.285973,"0xcd58,",[DL],193
17:53:14.291371,"0xcd58,",[DL],193
17:53:14.302929,"0xcd58,",[DL],193
17:53:14.365743,"0xcd58,",[DL],18
17:53:15.000000,"0xcd58,",[DL],18
17:53:16.000000,"0xcd58,",[DL],18
17:53:17.000000,"0xcd58,",[DL],18
17:53:18.000000,"0xcd58,",[DL],18
17:53:19.000000,"0xcd58,",[DL],18
17:53:20.000000,"0xcd58,",[DL],18
17:53:21.000000,"0xcd58,",[DL],18
17:53:22.000000,"0xcd58,",[DL],18
17:53:23.000000,"0xcd58,",[DL],18
17:53:24.000000,"0xcd58,",[DL],18
17:53:25.000000,"0xcd58,",[DL],18
17:53:26.000000,"0xcd58,",[DL],18
17:53:27.000000,"0xcd58,",[DL],18
17:53:28.000000,"0xcd58,",[DL],18
17:53:29.000000,"0xcd58,",[DL],18
17:53:30.000000,"0xcd58,",[DL],18
17:53:31.000000,"0xcd58,",[DL],18
17:53:32.000000,"0xcd58,",[DL],18
17:53:33.000000,"0xcd58,",[DL],18
17:53:34.000000,"0xcd58,",[DL],18
17:53:35.000000,"0xcd58,",[DL],18
17:53:36.000000,"0xcd58,",[DL],18
17:53:37.000000,"0xcd58,",[DL],18
17:53:38.000000,"0xcd58,",[DL],18
17:53:39.000000,"0xcd58,",[DL],18
17:53:40.000000,"0xcd58,",[DL],18
17:53:41.000000,"0xcd58,",[DL],18
17:53:42.000000,"0xcd58,",[DL],18
17:53:43.000000,"0xcd58,",[DL],18
17:53:44.000000,"0xcd58,",[DL],18
17:53:45.000000,"0xcd58,",[DL],18
17:53:46.000000,"0xcd58,",[DL],18
17:53:47.000000,"0xcd58,",[DL],18
17:53:48.000000,"0xcd58,",[DL],18
17:53:49.000000,"0xcd58,",[DL],18
17:53:50.000000,"0xcd58,",[DL],18
17:53:51.000000,"0xcd58,",[DL],18
17:53:52.000000,"0xcd58,",[DL],18
17:53:53.000000,"0xcd58,",[DL],18
17:53:54.000000,"0xcd58,",[DL],18
17:53:55.000000,"0xcd58,",[DL],18
17:53:56.000000,"0xcd58,",[DL],18
17:53:57.000000,"0xcd58,",[DL],18
17:53:58.000000,"0xcd58,",[DL],18
17:53:59.000000,"0xcd58,",[DL],18
17:54:00.000000,"0xcd58,",[DL],18
17:54:01.000000,"0xcd58,",[DL],18
17:54:02.000000,"0xcd58,",[DL],18
17:54:03.000000,"0xcd58,",[DL],18
17:54:04.000000,"0xcd58,",[DL],18
17:54:05.000000,"0xcd58,",[DL],18
17:54:06.000000,"0xcd58,",[DL],18
17:54:07.000000,"0xcd58,",[DL],18
17:54:08.000000,"0xcd58,",[DL],18
