time,rnti,link,tbs_dl
17:53:42.952643,"0x5606,",[DL],43
17:53:42.970902,"0x5606,",[DL],11
17:53:42.975413,"0x5606,",[DL],141
17:53:42.992874,"0x5606,",[DL],22
17:53:42.993367,"0x5606,",[DL],22
17:53:43.002418,"0x5606,",[DL],2124
17:53:43.010462,"0x5606,",[DL],22
17:53:43.013353,"0x5606,",[DL],67
17:53:43.023381,"0x5606,",[DL],11
17:53:43.026404,"0x5606,",[DL],22
17:53:44.000000,"0x5606,",[DL],22
17:53:44.073206,"0x5606,",[DL],11
17:53:44.218368,"0x5606,",[DL],0
17:53:45.000000,"0x5606,",[DL],0
17:53:45.254415,"0x5606,",[DL],49
17:53:45.270425,"0x5606,",[DL],22
17:53:46.000000,"0x5606,",[DL],22
17:53:47.000000,"0x5606,",[DL],22
17:53:48.000000,"0x5606,",[DL],22
17:53:49.000000,"0x5606,",[DL],22
17:53:50.000000,"0x5606,",[DL],22
17:53:51.000000,"0x5606,",[DL],22
17:53:52.000000,"0x5606,",[DL],22
17:53:53.000000,"0x5606,",[DL],22
17:53:54.000000,"0x5606,",[DL],22
17:53:55.000000,"0x5606,",[DL],22
17:53:56.000000,"0x5606,",[DL],22
17:53:57.000000,"0x5606,",[DL],22
17:53:58.000000,"0x5606,",[DL],22
17:53:59.000000,"0x5606,",[DL],22
17:54:00.000000,"0x5606,",[DL],22
17:54:01.000000,"0x5606,",[DL],22
17:54:02.000000,"0x5606,",[DL],22
17:54:03.000000,"0x5606,",[DL],22
17:54:04.000000,"0x5606,",[DL],22
17:54:05.000000,"0x5606,",[DL],22
17:54:06.000000,"0x5606,",[DL],22
17:54:07.000000,"0x5606,",[DL],22
17:54:08.000000,"0x5606,",[DL],22
17:54:09.000000,"0x5606,",[DL],22
17:54:10.000000,"0x5606,",[DL],22
17:54:11.000000,"0x5606,",[DL],22
17:54:12.000000,"0x5606,",[DL],22
17:54:13.000000,"0x5606,",[DL],22
17:54:14.000000,"0x5606,",[DL],22
17:54:15.000000,"0x5606,",[DL],22
17:54:16.000000,"0x5606,",[DL],22
17:54:17.000000,"0x5606,",[DL],22
17:54:18.000000,"0x5606,",[DL],22
17:54:19.000000,"0x5606,",[DL],22
17:54:20.000000,"0x5606,",[DL],22
17:54:21.000000,"0x5606,",[DL],22
17:54:22.000000,"0x5606,",[DL],22
17:54:23.000000,"0x5606,",[DL],22
17:54:24.000000,"0x5606,",[DL],22
17:54:25.000000,"0x5606,",[DL],22
17:54:26.000000,"0x5606,",[DL],22
17:54:27.000000,"0x5606,",[DL],22
17:54:28.000000,"0x5606,",[DL],22
17:54:29.000000,"0x5606,",[DL],22
17:54:30.000000,"0x5606,",[DL],22
17:54:31.000000,"0x5606,",[DL],22
17:54:32.000000,"0x5606,",[DL],22
