time,rnti,link,tbs_dl
16:22:26.929753,"0x7d0e,",[DL],43
16:22:26.948258,"0x7d0e,",[DL],11
16:22:26.973196,"0x7d0e,",[DL],11
16:22:27.256316,"0x7d0e,",[DL],11
16:22:27.264172,"0x7d0e,",[DL],11
16:22:27.286248,"0x7d0e,",[DL],249
16:22:27.312291,"0x7d0e,",[DL],125
16:22:27.316751,"0x7d0e,",[DL],113
16:22:27.334225,"0x7d0e,",[DL],22
16:22:27.384296,"0x7d0e,",[DL],22
16:22:27.404355,"0x7d0e,",[DL],67
16:22:27.414306,"0x7d0e,",[DL],67
16:22:27.431796,"0x7d0e,",[DL],0
16:22:27.485320,"0x7d0e,",[DL],217
16:22:27.519819,"0x7d0e,",[DL],22
16:22:27.522780,"0x7d0e,",[DL],67
16:22:28.212784,"0x7d0e,",[DL],0
16:22:28.254181,"0x7d0e,",[DL],177
16:22:28.259241,"0x7d0e,",[DL],59
16:22:28.284331,"0x7d0e,",[DL],249
16:22:28.285361,"0x7d0e,",[DL],285
16:22:28.286371,"0x7d0e,",[DL],285
16:22:28.485834,"0x7d0e,",[DL],437
16:22:28.492912,"0x7d0e,",[DL],233
16:22:28.495900,"0x7d0e,",[DL],0
16:22:28.499001,"0x7d0e,",[DL],233
16:22:28.502048,"0x7d0e,",[DL],285
16:22:28.505808,"0x7d0e,",[DL],233
16:22:28.510777,"0x7d0e,",[DL],22
16:22:28.511746,"0x7d0e,",[DL],233
16:22:28.512871,"0x7d0e,",[DL],0
16:22:28.513851,"0x7d0e,",[DL],125
16:22:28.530761,"0x7d0e,",[DL],249
16:22:28.579732,"0x7d0e,",[DL],67
16:22:28.580821,"0x7d0e,",[DL],125
16:22:28.581723,"0x7d0e,",[DL],67
16:22:28.582831,"0x7d0e,",[DL],125
16:22:28.583782,"0x7d0e,",[DL],67
16:22:28.584819,"0x7d0e,",[DL],125
16:22:28.585765,"0x7d0e,",[DL],67
16:22:28.586788,"0x7d0e,",[DL],125
16:22:28.587838,"0x7d0e,",[DL],125
16:22:28.588863,"0x7d0e,",[DL],125
16:22:28.589851,"0x7d0e,",[DL],125
16:22:28.590754,"0x7d0e,",[DL],125
16:22:28.592032,"0x7d0e,",[DL],125
16:22:28.592789,"0x7d0e,",[DL],125
16:22:28.593882,"0x7d0e,",[DL],125
16:22:28.594716,"0x7d0e,",[DL],125
16:22:28.595824,"0x7d0e,",[DL],67
16:22:28.596798,"0x7d0e,",[DL],125
16:22:28.597825,"0x7d0e,",[DL],125
16:22:28.598908,"0x7d0e,",[DL],125
16:22:28.599843,"0x7d0e,",[DL],125
16:22:28.600976,"0x7d0e,",[DL],125
16:22:28.601841,"0x7d0e,",[DL],177
16:22:28.603153,"0x7d0e,",[DL],125
16:22:28.604954,"0x7d0e,",[DL],125
16:22:28.605237,"0x7d0e,",[DL],125
16:22:28.605898,"0x7d0e,",[DL],125
16:22:28.609844,"0x7d0e,",[DL],32
16:22:28.615875,"0x7d0e,",[DL],373
16:22:28.618838,"0x7d0e,",[DL],125
16:22:28.821885,"0x7d0e,",[DL],125
16:22:28.822833,"0x7d0e,",[DL],125
16:22:28.823982,"0x7d0e,",[DL],125
16:22:28.824787,"0x7d0e,",[DL],125
16:22:28.825870,"0x7d0e,",[DL],125
16:22:28.826808,"0x7d0e,",[DL],125
16:22:28.827918,"0x7d0e,",[DL],125
16:22:28.828870,"0x7d0e,",[DL],177
16:22:28.829837,"0x7d0e,",[DL],125
16:22:28.830918,"0x7d0e,",[DL],177
16:22:28.831829,"0x7d0e,",[DL],125
16:22:28.832865,"0x7d0e,",[DL],125
16:22:28.834001,"0x7d0e,",[DL],141
16:22:28.834868,"0x7d0e,",[DL],125
16:22:28.835886,"0x7d0e,",[DL],177
16:22:28.836929,"0x7d0e,",[DL],125
16:22:28.837910,"0x7d0e,",[DL],217
16:22:28.838915,"0x7d0e,",[DL],177
16:22:28.839802,"0x7d0e,",[DL],125
16:22:28.840875,"0x7d0e,",[DL],177
16:22:28.841878,"0x7d0e,",[DL],177
16:22:28.842829,"0x7d0e,",[DL],177
16:22:28.843899,"0x7d0e,",[DL],125
16:22:28.844847,"0x7d0e,",[DL],177
16:22:28.845877,"0x7d0e,",[DL],177
16:22:28.846899,"0x7d0e,",[DL],125
16:22:28.847825,"0x7d0e,",[DL],177
16:22:28.848877,"0x7d0e,",[DL],125
16:22:28.849833,"0x7d0e,",[DL],177
16:22:28.850815,"0x7d0e,",[DL],177
16:22:28.851820,"0x7d0e,",[DL],177
16:22:28.852782,"0x7d0e,",[DL],125
16:22:28.853878,"0x7d0e,",[DL],177
16:22:28.854836,"0x7d0e,",[DL],177
16:22:28.863812,"0x7d0e,",[DL],177
16:22:28.864899,"0x7d0e,",[DL],285
16:22:28.865786,"0x7d0e,",[DL],22
16:22:28.866844,"0x7d0e,",[DL],349
16:22:28.868856,"0x7d0e,",[DL],177
16:22:28.884139,"0x7d0e,",[DL],501
16:22:28.931787,"0x7d0e,",[DL],177
16:22:28.932766,"0x7d0e,",[DL],125
16:22:28.933890,"0x7d0e,",[DL],177
16:22:28.934820,"0x7d0e,",[DL],177
16:22:28.935841,"0x7d0e,",[DL],125
16:22:28.936792,"0x7d0e,",[DL],177
16:22:28.937843,"0x7d0e,",[DL],125
16:22:28.938858,"0x7d0e,",[DL],177
16:22:28.939816,"0x7d0e,",[DL],125
16:22:28.940805,"0x7d0e,",[DL],125
16:22:28.941781,"0x7d0e,",[DL],177
16:22:28.942796,"0x7d0e,",[DL],125
16:22:28.943844,"0x7d0e,",[DL],125
16:22:28.944751,"0x7d0e,",[DL],177
16:22:28.945735,"0x7d0e,",[DL],125
16:22:28.946832,"0x7d0e,",[DL],177
16:22:28.947832,"0x7d0e,",[DL],125
16:22:28.948902,"0x7d0e,",[DL],125
16:22:28.949746,"0x7d0e,",[DL],125
16:22:28.950847,"0x7d0e,",[DL],177
16:22:28.951726,"0x7d0e,",[DL],125
16:22:28.952785,"0x7d0e,",[DL],125
16:22:28.953847,"0x7d0e,",[DL],125
16:22:28.954813,"0x7d0e,",[DL],125
16:22:28.955731,"0x7d0e,",[DL],125
16:22:28.956778,"0x7d0e,",[DL],125
16:22:28.957838,"0x7d0e,",[DL],177
16:22:28.958830,"0x7d0e,",[DL],125
16:22:28.959792,"0x7d0e,",[DL],125
16:22:28.960779,"0x7d0e,",[DL],177
16:22:28.961783,"0x7d0e,",[DL],125
16:22:28.962858,"0x7d0e,",[DL],125
16:22:28.963876,"0x7d0e,",[DL],177
16:22:28.964775,"0x7d0e,",[DL],125
16:22:28.965821,"0x7d0e,",[DL],177
16:22:28.966837,"0x7d0e,",[DL],177
16:22:28.967770,"0x7d0e,",[DL],125
16:22:28.968869,"0x7d0e,",[DL],177
16:22:28.969731,"0x7d0e,",[DL],125
16:22:28.970898,"0x7d0e,",[DL],193
16:22:28.971761,"0x7d0e,",[DL],67
16:22:28.972851,"0x7d0e,",[DL],233
16:22:28.973819,"0x7d0e,",[DL],125
16:22:28.978848,"0x7d0e,",[DL],67
16:22:28.988943,"0x7d0e,",[DL],501
16:22:29.151745,"0x7d0e,",[DL],125
16:22:29.152761,"0x7d0e,",[DL],67
16:22:29.153876,"0x7d0e,",[DL],233
16:22:29.154755,"0x7d0e,",[DL],125
16:22:29.155771,"0x7d0e,",[DL],125
16:22:29.156815,"0x7d0e,",[DL],125
16:22:29.157741,"0x7d0e,",[DL],125
16:22:29.162784,"0x7d0e,",[DL],67
16:22:29.166784,"0x7d0e,",[DL],405
16:22:29.167870,"0x7d0e,",[DL],501
16:22:29.168909,"0x7d0e,",[DL],177
16:22:29.169799,"0x7d0e,",[DL],125
16:22:29.170814,"0x7d0e,",[DL],177
16:22:29.171769,"0x7d0e,",[DL],125
16:22:29.172798,"0x7d0e,",[DL],177
16:22:29.173884,"0x7d0e,",[DL],177
16:22:29.174758,"0x7d0e,",[DL],125
16:22:29.175800,"0x7d0e,",[DL],269
16:22:29.176764,"0x7d0e,",[DL],177
16:22:29.177767,"0x7d0e,",[DL],67
16:22:29.178878,"0x7d0e,",[DL],67
16:22:29.179830,"0x7d0e,",[DL],285
16:22:29.180825,"0x7d0e,",[DL],177
16:22:29.181768,"0x7d0e,",[DL],177
16:22:29.182825,"0x7d0e,",[DL],125
16:22:29.183805,"0x7d0e,",[DL],177
16:22:29.184819,"0x7d0e,",[DL],177
16:22:29.185747,"0x7d0e,",[DL],125
16:22:29.186806,"0x7d0e,",[DL],177
16:22:29.187741,"0x7d0e,",[DL],177
16:22:29.188853,"0x7d0e,",[DL],67
16:22:29.189828,"0x7d0e,",[DL],233
16:22:29.194773,"0x7d0e,",[DL],67
16:22:29.195769,"0x7d0e,",[DL],22
16:22:29.200579,"0x7d0e,",[DL],285
16:22:29.213974,"0x7d0e,",[DL],501
16:22:29.371802,"0x7d0e,",[DL],125
16:22:29.372835,"0x7d0e,",[DL],177
16:22:29.373845,"0x7d0e,",[DL],125
16:22:29.374815,"0x7d0e,",[DL],177
16:22:29.375887,"0x7d0e,",[DL],125
16:22:29.377830,"0x7d0e,",[DL],125
16:22:29.381927,"0x7d0e,",[DL],67
16:22:29.385927,"0x7d0e,",[DL],125
16:22:29.386808,"0x7d0e,",[DL],349
16:22:29.388948,"0x7d0e,",[DL],405
16:22:29.392780,"0x7d0e,",[DL],501
16:22:29.397847,"0x7d0e,",[DL],67
16:22:29.401835,"0x7d0e,",[DL],501
16:22:29.402835,"0x7d0e,",[DL],405
16:22:29.404043,"0x7d0e,",[DL],125
16:22:29.404795,"0x7d0e,",[DL],177
16:22:29.405855,"0x7d0e,",[DL],177
16:22:29.406793,"0x7d0e,",[DL],125
16:22:29.407869,"0x7d0e,",[DL],177
16:22:29.408816,"0x7d0e,",[DL],125
16:22:29.409919,"0x7d0e,",[DL],177
16:22:29.410837,"0x7d0e,",[DL],177
16:22:29.411813,"0x7d0e,",[DL],125
16:22:29.412777,"0x7d0e,",[DL],501
16:22:29.413939,"0x7d0e,",[DL],177
16:22:29.414884,"0x7d0e,",[DL],177
16:22:29.431875,"0x7d0e,",[DL],501
16:22:29.481814,"0x7d0e,",[DL],125
16:22:29.482854,"0x7d0e,",[DL],177
16:22:29.483812,"0x7d0e,",[DL],125
16:22:29.484844,"0x7d0e,",[DL],125
16:22:29.485839,"0x7d0e,",[DL],125
16:22:29.486845,"0x7d0e,",[DL],177
