time,rnti,link,tbs_dl
19:14:06.938765,"0x59fb,",[DL],43
19:14:06.957139,"0x59fb,",[DL],11
19:14:06.961797,"0x59fb,",[DL],113
19:14:06.979668,"0x59fb,",[DL],22
19:14:06.987767,"0x59fb,",[DL],77
19:14:07.014674,"0x59fb,",[DL],0
19:14:07.027884,"0x59fb,",[DL],22
19:14:07.049684,"0x59fb,",[DL],249
19:14:07.072854,"0x59fb,",[DL],113
19:14:07.077837,"0x59fb,",[DL],22
19:14:07.079763,"0x59fb,",[DL],67
19:14:07.127852,"0x59fb,",[DL],22
19:14:07.207217,"0x59fb,",[DL],22
19:14:08.000000,"0x59fb,",[DL],22
19:14:08.419624,"0x59fb,",[DL],11
19:14:08.421754,"0x59fb,",[DL],97
19:14:08.439650,"0x59fb,",[DL],77
19:14:08.462754,"0x59fb,",[DL],67
19:14:08.463646,"0x59fb,",[DL],2385
19:14:08.469847,"0x59fb,",[DL],22
19:14:08.496685,"0x59fb,",[DL],113
19:14:08.519739,"0x59fb,",[DL],22
19:14:08.533659,"0x59fb,",[DL],645
19:14:08.569685,"0x59fb,",[DL],22
19:14:08.614859,"0x59fb,",[DL],269
19:14:08.619840,"0x59fb,",[DL],22
19:14:08.633815,"0x59fb,",[DL],77
19:14:08.666748,"0x59fb,",[DL],67
19:14:08.667763,"0x59fb,",[DL],0
19:14:08.669724,"0x59fb,",[DL],22
19:14:08.685749,"0x59fb,",[DL],0
19:14:08.716708,"0x59fb,",[DL],97
19:14:08.719708,"0x59fb,",[DL],22
19:14:08.739668,"0x59fb,",[DL],67
19:14:08.769841,"0x59fb,",[DL],22
19:14:09.073756,"0x59fb,",[DL],0
19:14:09.075300,"0x59fb,",[DL],0
19:14:09.082903,"0x59fb,",[DL],0
19:14:09.092783,"0x59fb,",[DL],22
19:14:09.094675,"0x59fb,",[DL],113
19:14:09.102743,"0x59fb,",[DL],67
19:14:09.145382,"0x59fb,",[DL],22
19:14:09.165244,"0x59fb,",[DL],317
19:14:09.184101,"0x59fb,",[DL],67
19:14:09.195241,"0x59fb,",[DL],22
19:14:09.393623,"0x59fb,",[DL],32
19:14:09.409756,"0x59fb,",[DL],22
19:14:09.553657,"0x59fb,",[DL],177
19:14:09.554659,"0x59fb,",[DL],125
19:14:09.582176,"0x59fb,",[DL],11
19:14:09.582723,"0x59fb,",[DL],41
19:14:09.583761,"0x59fb,",[DL],11
19:14:09.587137,"0x59fb,",[DL],11
19:14:09.600784,"0x59fb,",[DL],67
19:14:09.614782,"0x59fb,",[DL],67
19:14:09.629795,"0x59fb,",[DL],22
19:14:10.193715,"0x59fb,",[DL],1908
19:14:10.194696,"0x59fb,",[DL],7972
19:14:10.195745,"0x59fb,",[DL],3182
19:14:10.199679,"0x59fb,",[DL],77
19:14:10.201697,"0x59fb,",[DL],1908
19:14:10.202793,"0x59fb,",[DL],7972
19:14:10.203698,"0x59fb,",[DL],3182
19:14:10.229657,"0x59fb,",[DL],22
19:14:10.232792,"0x59fb,",[DL],67
19:14:10.315303,"0x59fb,",[DL],67
19:14:10.333158,"0x59fb,",[DL],125
19:14:10.677074,"0x59fb,",[DL],1143
19:14:10.682720,"0x59fb,",[DL],1143
19:14:10.692872,"0x59fb,",[DL],22
19:14:10.711490,"0x59fb,",[DL],67
19:14:10.730730,"0x59fb,",[DL],249
19:14:10.742834,"0x59fb,",[DL],22
19:14:11.073688,"0x59fb,",[DL],437
19:14:11.074773,"0x59fb,",[DL],233
19:14:11.092733,"0x59fb,",[DL],11
19:14:11.095735,"0x59fb,",[DL],67
19:14:12.000000,"0x59fb,",[DL],67
19:14:13.000000,"0x59fb,",[DL],67
19:14:13.869667,"0x59fb,",[DL],11
19:14:13.872719,"0x59fb,",[DL],177
19:14:13.922096,"0x59fb,",[DL],22
19:14:14.000000,"0x59fb,",[DL],22
19:14:15.000000,"0x59fb,",[DL],22
19:14:16.000000,"0x59fb,",[DL],22
19:14:16.770650,"0x59fb,",[DL],11
19:14:17.623616,"0x59fb,",[DL],11
19:14:18.000000,"0x59fb,",[DL],11
19:14:19.000000,"0x59fb,",[DL],11
