time,rnti,link,tbs_dl
15:59:56.330503,"0x9b23,",[DL],43
15:59:56.667557,"0x9b23,",[DL],11
15:59:57.000000,"0x9b23,",[DL],11
15:59:58.000000,"0x9b23,",[DL],11
15:59:59.000000,"0x9b23,",[DL],11
16:00:00.000000,"0x9b23,",[DL],11
16:00:01.000000,"0x9b23,",[DL],11
16:00:02.000000,"0x9b23,",[DL],11
16:00:03.000000,"0x9b23,",[DL],11
16:00:04.000000,"0x9b23,",[DL],11
16:00:04.911296,"0x9b23,",[DL],22
16:00:05.000000,"0x9b23,",[DL],22
16:00:06.000000,"0x9b23,",[DL],22
16:00:06.507763,"0x9b23,",[DL],22
16:00:07.000000,"0x9b23,",[DL],22
16:00:08.000000,"0x9b23,",[DL],22
16:00:09.000000,"0x9b23,",[DL],22
16:00:10.000000,"0x9b23,",[DL],22
16:00:11.000000,"0x9b23,",[DL],22
16:00:12.000000,"0x9b23,",[DL],22
16:00:13.000000,"0x9b23,",[DL],22
16:00:14.000000,"0x9b23,",[DL],22
16:00:15.000000,"0x9b23,",[DL],22
16:00:16.000000,"0x9b23,",[DL],22
16:00:17.000000,"0x9b23,",[DL],22
16:00:18.000000,"0x9b23,",[DL],22
16:00:19.000000,"0x9b23,",[DL],22
16:00:20.000000,"0x9b23,",[DL],22
16:00:21.000000,"0x9b23,",[DL],22
16:00:22.000000,"0x9b23,",[DL],22
16:00:23.000000,"0x9b23,",[DL],22
16:00:24.000000,"0x9b23,",[DL],22
16:00:25.000000,"0x9b23,",[DL],22
16:00:26.000000,"0x9b23,",[DL],22
16:00:27.000000,"0x9b23,",[DL],22
16:00:28.000000,"0x9b23,",[DL],22
16:00:29.000000,"0x9b23,",[DL],22
16:00:30.000000,"0x9b23,",[DL],22
16:00:31.000000,"0x9b23,",[DL],22
16:00:32.000000,"0x9b23,",[DL],22
16:00:33.000000,"0x9b23,",[DL],22
16:00:34.000000,"0x9b23,",[DL],22
16:00:35.000000,"0x9b23,",[DL],22
16:00:36.000000,"0x9b23,",[DL],22
16:00:37.000000,"0x9b23,",[DL],22
16:00:38.000000,"0x9b23,",[DL],22
16:00:39.000000,"0x9b23,",[DL],22
16:00:40.000000,"0x9b23,",[DL],22
16:00:41.000000,"0x9b23,",[DL],22
16:00:42.000000,"0x9b23,",[DL],22
16:00:43.000000,"0x9b23,",[DL],22
16:00:44.000000,"0x9b23,",[DL],22
16:00:45.000000,"0x9b23,",[DL],22
16:00:46.000000,"0x9b23,",[DL],22
16:00:47.000000,"0x9b23,",[DL],22
16:00:48.000000,"0x9b23,",[DL],22
16:00:49.000000,"0x9b23,",[DL],22
16:00:50.000000,"0x9b23,",[DL],22
16:00:51.000000,"0x9b23,",[DL],22
16:00:52.000000,"0x9b23,",[DL],22
16:00:53.000000,"0x9b23,",[DL],22
16:00:54.000000,"0x9b23,",[DL],22
16:00:55.000000,"0x9b23,",[DL],22
16:00:56.000000,"0x9b23,",[DL],22
16:00:56.981172,"0x9b23,",[DL],53
16:00:57.010942,"0x9b23,",[DL],11
16:00:57.024011,"0x9b23,",[DL],11
16:00:57.328736,"0x9b23,",[DL],11
16:00:58.000000,"0x9b23,",[DL],11
16:00:59.000000,"0x9b23,",[DL],11
16:01:00.000000,"0x9b23,",[DL],11
16:01:01.000000,"0x9b23,",[DL],11
16:01:02.000000,"0x9b23,",[DL],11
16:01:03.000000,"0x9b23,",[DL],11
16:01:04.000000,"0x9b23,",[DL],11
16:01:05.000000,"0x9b23,",[DL],11
16:01:06.000000,"0x9b23,",[DL],11
