time,rnti,link,tbs_dl
19:18:38.180562,"0x3dc9,",[DL],43
19:18:38.198901,"0x3dc9,",[DL],11
19:18:38.202679,"0x3dc9,",[DL],26
19:18:38.212550,"0x3dc9,",[DL],11
19:18:38.230564,"0x3dc9,",[DL],11
19:18:38.233624,"0x3dc9,",[DL],113
19:18:38.250651,"0x3dc9,",[DL],11
19:18:38.254746,"0x3dc9,",[DL],67
19:18:38.256589,"0x3dc9,",[DL],11
19:18:38.267386,"0x3dc9,",[DL],1287
19:18:38.267600,"0x3dc9,",[DL],1287
19:18:38.268753,"0x3dc9,",[DL],775
19:18:38.269624,"0x3dc9,",[DL],1287
19:18:38.270650,"0x3dc9,",[DL],1063
19:18:38.276593,"0x3dc9,",[DL],775
19:18:38.301644,"0x3dc9,",[DL],573
19:18:38.306546,"0x3dc9,",[DL],22
19:18:38.343560,"0x3dc9,",[DL],0
19:18:38.351565,"0x3dc9,",[DL],0
19:18:38.356587,"0x3dc9,",[DL],22
19:18:39.000000,"0x3dc9,",[DL],22
19:18:39.632570,"0x3dc9,",[DL],22
19:18:40.196623,"0x3dc9,",[DL],22
19:18:41.000000,"0x3dc9,",[DL],22
19:18:42.000000,"0x3dc9,",[DL],22
19:18:43.000000,"0x3dc9,",[DL],22
19:18:44.000000,"0x3dc9,",[DL],22
19:18:45.000000,"0x3dc9,",[DL],22
19:18:46.000000,"0x3dc9,",[DL],22
19:18:47.000000,"0x3dc9,",[DL],22
19:18:48.000000,"0x3dc9,",[DL],22
19:18:49.000000,"0x3dc9,",[DL],22
19:18:50.000000,"0x3dc9,",[DL],22
19:18:51.000000,"0x3dc9,",[DL],22
19:18:52.000000,"0x3dc9,",[DL],22
19:18:52.370576,"0x9ecd,",[DL],43
19:18:52.388997,"0x9ecd,",[DL],11
19:18:52.394740,"0x9ecd,",[DL],125
19:18:52.411603,"0x9ecd,",[DL],22
19:18:52.412610,"0x9ecd,",[DL],22
19:18:52.416598,"0x9ecd,",[DL],22
19:18:52.422587,"0x9ecd,",[DL],871
19:18:52.424654,"0x9ecd,",[DL],22
19:18:52.426515,"0x9ecd,",[DL],67
19:18:52.430575,"0x9ecd,",[DL],871
19:18:52.440627,"0x9ecd,",[DL],871
19:18:52.441636,"0x9ecd,",[DL],22
19:18:52.448921,"0x9ecd,",[DL],871
19:18:52.452653,"0x9ecd,",[DL],67
19:18:52.453576,"0x9ecd,",[DL],1908
19:18:52.466640,"0x9ecd,",[DL],22
19:18:52.489687,"0x9ecd,",[DL],0
19:18:52.492697,"0x9ecd,",[DL],317
19:18:52.516532,"0x9ecd,",[DL],22
19:18:52.567729,"0x9ecd,",[DL],22
19:18:52.880010,"0x9ecd,",[DL],22
19:18:52.881190,"0x9ecd,",[DL],285
19:18:52.882228,"0x9ecd,",[DL],77
19:18:53.142039,"0x9ecd,",[DL],22
19:18:53.144614,"0x9ecd,",[DL],193
19:18:53.145535,"0x9ecd,",[DL],1620
19:18:53.147524,"0x9ecd,",[DL],871
19:18:53.162574,"0x9ecd,",[DL],0
19:18:53.165627,"0x9ecd,",[DL],67
19:18:53.166649,"0x9ecd,",[DL],285
19:18:53.191604,"0x9ecd,",[DL],22
19:18:53.249570,"0x9ecd,",[DL],389
19:18:53.253576,"0x9ecd,",[DL],22
19:18:53.256570,"0x9ecd,",[DL],501
19:18:53.257789,"0x9ecd,",[DL],317
19:18:53.303668,"0x9ecd,",[DL],22
19:18:53.767644,"0x9ecd,",[DL],49
19:18:53.779676,"0x9ecd,",[DL],22
19:18:53.977674,"0x9ecd,",[DL],22
19:18:53.978589,"0x9ecd,",[DL],67
19:18:53.979717,"0x9ecd,",[DL],177
19:18:54.026463,"0x9ecd,",[DL],301
19:18:54.034602,"0x9ecd,",[DL],301
19:18:55.000000,"0x9ecd,",[DL],301
19:18:56.000000,"0x9ecd,",[DL],301
19:18:57.000000,"0x9ecd,",[DL],301
19:18:58.000000,"0x9ecd,",[DL],301
19:18:59.000000,"0x9ecd,",[DL],301
19:18:59.152647,"0x9ecd,",[DL],333
19:18:59.165534,"0x9ecd,",[DL],67
19:18:59.167500,"0x9ecd,",[DL],2124
19:18:59.173555,"0x9ecd,",[DL],67
19:18:59.175941,"0x9ecd,",[DL],1836
19:18:59.180661,"0x9ecd,",[DL],233
19:18:59.182762,"0x9ecd,",[DL],317
19:18:59.193619,"0x9ecd,",[DL],22
19:18:59.243708,"0x9ecd,",[DL],22
19:18:59.368457,"0x9ecd,",[DL],85
19:18:59.386548,"0x9ecd,",[DL],11
19:18:59.438531,"0x9ecd,",[DL],22
19:18:59.516593,"0x9ecd,",[DL],85
19:18:59.544034,"0x9ecd,",[DL],22
19:18:59.585033,"0x9ecd,",[DL],2865
19:18:59.585561,"0x9ecd,",[DL],807
19:18:59.592520,"0x9ecd,",[DL],2865
19:18:59.613651,"0x9ecd,",[DL],22
19:18:59.639651,"0x9ecd,",[DL],85
19:18:59.659692,"0x9ecd,",[DL],85
19:18:59.663578,"0x9ecd,",[DL],22
19:18:59.675514,"0x9ecd,",[DL],125
19:18:59.677518,"0x9ecd,",[DL],2124
19:18:59.679006,"0x9ecd,",[DL],141
19:18:59.696573,"0x9ecd,",[DL],67
19:18:59.698522,"0x9ecd,",[DL],1335
19:18:59.701518,"0x9ecd,",[DL],67
19:18:59.702608,"0x9ecd,",[DL],1239
19:18:59.703500,"0x9ecd,",[DL],125
19:18:59.704635,"0x9ecd,",[DL],1527
19:18:59.713562,"0x9ecd,",[DL],22
19:18:59.763517,"0x9ecd,",[DL],22
19:18:59.789638,"0x9ecd,",[DL],233
19:18:59.790632,"0x9ecd,",[DL],317
19:18:59.796613,"0x9ecd,",[DL],373
19:18:59.808673,"0x9ecd,",[DL],373
19:18:59.813594,"0x9ecd,",[DL],22
19:18:59.818656,"0x9ecd,",[DL],373
19:18:59.821664,"0x9ecd,",[DL],373
19:18:59.855489,"0x9ecd,",[DL],67
19:18:59.857668,"0x9ecd,",[DL],2292
19:18:59.858615,"0x9ecd,",[DL],285
19:18:59.863573,"0x9ecd,",[DL],22
19:19:00.077569,"0x9ecd,",[DL],349
19:19:00.078626,"0x9ecd,",[DL],233
19:19:00.126563,"0x9ecd,",[DL],22
19:19:00.131529,"0x9ecd,",[DL],67
19:19:00.176524,"0x9ecd,",[DL],22
19:19:00.226622,"0x9ecd,",[DL],22
19:19:00.276662,"0x9ecd,",[DL],22
19:19:00.407768,"0x9ecd,",[DL],85
19:19:00.426585,"0x9ecd,",[DL],11
19:19:00.476565,"0x9ecd,",[DL],22
19:19:00.529104,"0x9ecd,",[DL],22
19:19:00.551591,"0x9ecd,",[DL],85
19:19:00.576603,"0x9ecd,",[DL],421
19:19:00.587147,"0x9ecd,",[DL],405
19:19:00.624698,"0x9ecd,",[DL],3662
19:19:00.625518,"0x9ecd,",[DL],269
19:19:00.633246,"0x9ecd,",[DL],3662
19:19:00.648069,"0x9ecd,",[DL],22
19:19:00.686549,"0x9ecd,",[DL],67
19:19:01.000000,"0x9ecd,",[DL],67
19:19:02.000000,"0x9ecd,",[DL],67
19:19:03.000000,"0x9ecd,",[DL],67
19:19:03.327068,"0x9ecd,",[DL],11
19:19:03.327609,"0x9ecd,",[DL],67
19:19:03.331024,"0x9ecd,",[DL],67
19:19:03.332073,"0x9ecd,",[DL],333
19:19:03.332991,"0x9ecd,",[DL],349
19:19:03.336039,"0x9ecd,",[DL],349
19:19:03.336970,"0x9ecd,",[DL],349
19:19:03.337989,"0x9ecd,",[DL],309
19:19:03.341123,"0x9ecd,",[DL],333
19:19:03.342036,"0x9ecd,",[DL],349
19:19:03.344298,"0x9ecd,",[DL],293
19:19:03.345957,"0x9ecd,",[DL],349
19:19:03.347122,"0x9ecd,",[DL],277
19:19:03.374674,"0x9ecd,",[DL],22
19:19:03.376727,"0x9ecd,",[DL],437
19:19:03.377732,"0x9ecd,",[DL],217
19:19:03.384794,"0x9ecd,",[DL],67
19:19:03.421663,"0x9ecd,",[DL],405
19:19:03.424752,"0x9ecd,",[DL],22
19:19:03.429762,"0x9ecd,",[DL],405
19:19:03.493678,"0x9ecd,",[DL],22
19:19:03.496514,"0x9ecd,",[DL],67
19:19:03.498534,"0x9ecd,",[DL],807
19:19:03.525613,"0x9ecd,",[DL],161
19:19:03.543630,"0x9ecd,",[DL],22
19:19:04.000000,"0x9ecd,",[DL],22
19:19:05.000000,"0x9ecd,",[DL],22
19:19:06.000000,"0x9ecd,",[DL],22
19:19:07.000000,"0x9ecd,",[DL],22
19:19:08.000000,"0x9ecd,",[DL],22
19:19:09.000000,"0x9ecd,",[DL],22
19:19:10.000000,"0x9ecd,",[DL],22
19:19:11.000000,"0x9ecd,",[DL],22
19:19:11.367638,"0x9ecd,",[DL],22
19:19:12.000000,"0x9ecd,",[DL],22
19:19:13.000000,"0x9ecd,",[DL],22
19:19:13.607685,"0x9ecd,",[DL],22
19:19:14.000000,"0x9ecd,",[DL],22
19:19:15.000000,"0x9ecd,",[DL],22
19:19:16.000000,"0x9ecd,",[DL],22
19:19:17.000000,"0x9ecd,",[DL],22
19:19:18.000000,"0x9ecd,",[DL],22
19:19:19.000000,"0x9ecd,",[DL],22
19:19:20.000000,"0x9ecd,",[DL],22
