time,rnti,link,tbs_dl
13:35:30.102359,"0xb00f,",[DL],43
13:35:30.121965,"0xb00f,",[DL],11
13:35:30.127374,"0xb00f,",[DL],113
13:35:30.146468,"0xb00f,",[DL],22
13:35:30.152290,"0xb00f,",[DL],97
13:35:30.193287,"0xb00f,",[DL],22
13:35:30.406345,"0xb00f,",[DL],22
13:35:31.286326,"0xb00f,",[DL],113
13:35:31.305288,"0xb00f,",[DL],11
13:35:31.307248,"0xb00f,",[DL],67
13:35:32.000000,"0xb00f,",[DL],0
13:35:33.000000,"0xb00f,",[DL],0
13:35:34.000000,"0xb00f,",[DL],0
13:35:35.000000,"0xb00f,",[DL],0
13:35:36.000000,"0xb00f,",[DL],0
13:35:37.000000,"0xb00f,",[DL],0
13:35:38.000000,"0xb00f,",[DL],0
13:35:39.000000,"0xb00f,",[DL],0
13:35:40.000000,"0xb00f,",[DL],0
13:35:41.000000,"0xb00f,",[DL],0
13:35:42.000000,"0xb00f,",[DL],0
13:35:43.000000,"0xb00f,",[DL],0
13:35:44.000000,"0xb00f,",[DL],0
13:35:45.000000,"0xb00f,",[DL],0
13:35:46.000000,"0xb00f,",[DL],0
13:35:47.000000,"0xb00f,",[DL],0
13:35:48.000000,"0xb00f,",[DL],0
13:35:49.000000,"0xb00f,",[DL],0
13:35:50.000000,"0xb00f,",[DL],0
13:35:51.000000,"0xb00f,",[DL],0
13:35:52.000000,"0xb00f,",[DL],0
13:35:52.952244,"0x8f88,",[DL],43
13:35:52.977279,"0x8f88,",[DL],11
13:35:52.984455,"0x8f88,",[DL],125
13:35:53.010763,"0x8f88,",[DL],11
13:35:53.059748,"0x8f88,",[DL],22
13:35:53.068721,"0x8f88,",[DL],67
13:35:53.069869,"0x8f88,",[DL],285
13:35:53.107228,"0x8f88,",[DL],22
13:35:53.157306,"0x8f88,",[DL],22
13:35:53.166282,"0x8f88,",[DL],67
13:35:53.227313,"0x8f88,",[DL],22
13:35:53.300279,"0x8f88,",[DL],437
13:35:53.319286,"0x8f88,",[DL],67
13:35:53.319738,"0x8f88,",[DL],317
13:35:53.367329,"0x8f88,",[DL],22
13:35:53.858258,"0x8f88,",[DL],109
13:35:53.859214,"0x8f88,",[DL],26
13:35:53.860303,"0x8f88,",[DL],11
13:35:53.880188,"0x8f88,",[DL],67
13:35:53.900314,"0x8f88,",[DL],67
13:35:53.907270,"0x8f88,",[DL],22
13:35:53.957218,"0x8f88,",[DL],22
13:35:54.014242,"0x8f88,",[DL],97
13:35:54.037359,"0x8f88,",[DL],22
13:35:55.000000,"0x8f88,",[DL],0
13:35:56.000000,"0x8f88,",[DL],0
13:35:57.000000,"0x8f88,",[DL],0
13:35:58.000000,"0x8f88,",[DL],0
13:35:59.000000,"0x8f88,",[DL],0
13:35:59.879225,"0x8f88,",[DL],125
13:35:59.880274,"0x8f88,",[DL],53
13:35:59.881289,"0x8f88,",[DL],11
13:35:59.882283,"0x8f88,",[DL],11
13:35:59.883228,"0x8f88,",[DL],11
13:35:59.914323,"0x8f88,",[DL],22
13:35:59.979413,"0x8f88,",[DL],0
13:35:59.980409,"0x8f88,",[DL],249
13:35:59.981366,"0x8f88,",[DL],67
13:36:00.008294,"0x8f88,",[DL],67
13:36:00.009469,"0x8f88,",[DL],285
13:36:00.027396,"0x8f88,",[DL],22
13:36:00.030270,"0x8f88,",[DL],317
13:36:00.045426,"0x8f88,",[DL],269
13:36:00.055268,"0x8f88,",[DL],67
13:36:00.064321,"0x8f88,",[DL],437
13:36:00.077356,"0x8f88,",[DL],22
13:36:00.096366,"0x8f88,",[DL],67
13:36:00.127295,"0x8f88,",[DL],22
13:36:00.256386,"0x8f88,",[DL],18
13:36:00.257247,"0x8f88,",[DL],125
