time,rnti,link,tbs_dl
13:22:15.685841,"0x6a34,",[DL],43
13:22:15.713210,"0x6a34,",[DL],11
13:22:15.824307,"0x6a34,",[DL],153
13:22:16.624265,"0x6a34,",[DL],11
13:22:16.627285,"0x6a34,",[DL],11
13:22:16.628205,"0x6a34,",[DL],11
13:22:16.629304,"0x6a34,",[DL],11
13:22:16.633276,"0x6a34,",[DL],11
13:22:16.634244,"0x6a34,",[DL],11
13:22:16.650808,"0x6a34,",[DL],22
13:22:16.713219,"0x6a34,",[DL],22
13:22:17.000000,"0x6a34,",[DL],22
13:22:18.000000,"0x6a34,",[DL],22
13:22:19.000000,"0x6a34,",[DL],22
13:22:20.000000,"0x6a34,",[DL],22
13:22:20.680945,"0x6a34,",[DL],161
13:22:20.692839,"0x6a34,",[DL],22
13:22:20.699292,"0x6a34,",[DL],125
13:22:20.743234,"0x6a34,",[DL],67
13:22:20.745245,"0x6a34,",[DL],317
13:22:20.765240,"0x6a34,",[DL],645
13:22:20.795210,"0x6a34,",[DL],22
13:22:20.821263,"0x6a34,",[DL],67
13:22:21.027536,"0x6a34,",[DL],2865
13:22:21.030585,"0x6a34,",[DL],2577
13:22:21.031611,"0x6a34,",[DL],2865
13:22:21.034655,"0x6a34,",[DL],2196
13:22:21.062496,"0x6a34,",[DL],22
13:22:22.000000,"0x6a34,",[DL],22
13:22:23.000000,"0x6a34,",[DL],22
13:22:24.000000,"0x6a34,",[DL],22
13:22:25.000000,"0x6a34,",[DL],22
13:22:26.000000,"0x6a34,",[DL],22
13:22:27.000000,"0x6a34,",[DL],22
13:22:28.000000,"0x6a34,",[DL],22
13:22:28.704434,"0x6a34,",[DL],22
13:22:29.000000,"0x6a34,",[DL],22
13:22:29.797797,"0x6a34,",[DL],11
13:22:29.800974,"0x6a34,",[DL],67
13:22:30.078918,"0x6a34,",[DL],11
13:22:30.081831,"0x6a34,",[DL],71
13:22:30.082833,"0x6a34,",[DL],11
13:22:30.083786,"0x6a34,",[DL],11
13:22:30.084875,"0x6a34,",[DL],11
13:22:31.000000,"0x6a34,",[DL],11
13:22:32.000000,"0x6a34,",[DL],11
13:22:33.000000,"0x6a34,",[DL],11
13:22:34.000000,"0x6a34,",[DL],11
13:22:35.000000,"0x6a34,",[DL],11
13:22:36.000000,"0x6a34,",[DL],11
13:22:36.952666,"0x6a34,",[DL],22
13:22:37.000000,"0x6a34,",[DL],22
13:22:38.000000,"0x6a34,",[DL],22
13:22:38.461863,"0x6a34,",[DL],141
13:22:38.500244,"0x6a34,",[DL],11
13:22:38.504257,"0x6a34,",[DL],11
13:22:38.505194,"0x6a34,",[DL],11
13:22:39.000000,"0x6a34,",[DL],11
13:22:40.000000,"0x6a34,",[DL],11
13:22:41.000000,"0x6a34,",[DL],11
13:22:42.000000,"0x6a34,",[DL],11
13:22:43.000000,"0x6a34,",[DL],11
13:22:44.000000,"0x6a34,",[DL],11
13:22:45.000000,"0x6a34,",[DL],11
13:22:45.509301,"0x6a34,",[DL],22
13:22:46.000000,"0x6a34,",[DL],22
13:22:47.000000,"0x6a34,",[DL],22
13:22:48.000000,"0x6a34,",[DL],22
13:22:49.000000,"0x6a34,",[DL],22
13:22:50.000000,"0x6a34,",[DL],22
13:22:51.000000,"0x6a34,",[DL],22
13:22:51.845749,"0x5e71,",[DL],43
13:22:51.864177,"0x5e71,",[DL],11
13:22:51.873299,"0x5e71,",[DL],125
13:22:51.969855,"0x5e71,",[DL],11
13:22:51.972884,"0x5e71,",[DL],67
13:22:51.973790,"0x5e71,",[DL],41
13:22:52.000000,"0x5e71,",[DL],41
13:22:53.000000,"0x5e71,",[DL],41
13:22:53.004264,"0x5e71,",[DL],22
13:22:54.000000,"0x5e71,",[DL],22
13:22:54.374272,"0x5e71,",[DL],67
13:22:54.375227,"0x5e71,",[DL],11
13:22:55.000000,"0x5e71,",[DL],11
13:22:56.000000,"0x5e71,",[DL],11
13:22:56.254523,"0x5e71,",[DL],77
13:22:56.259373,"0x5e71,",[DL],11
13:22:56.287348,"0x5e71,",[DL],67
13:22:56.292354,"0x5e71,",[DL],573
13:22:56.327295,"0x5e71,",[DL],249
13:22:56.347319,"0x5e71,",[DL],113
13:22:56.359321,"0x5e71,",[DL],22
13:22:56.373235,"0x5e71,",[DL],317
13:22:56.374274,"0x5e71,",[DL],125
13:22:56.406829,"0x5e71,",[DL],22
13:22:56.447422,"0x5e71,",[DL],269
13:22:56.482287,"0x5e71,",[DL],125
13:22:56.485215,"0x5e71,",[DL],2196
13:22:56.486523,"0x5e71,",[DL],1287
13:22:56.487397,"0x5e71,",[DL],1572
13:22:56.490284,"0x5e71,",[DL],1572
13:22:56.491240,"0x5e71,",[DL],0
13:22:56.492298,"0x5e71,",[DL],1572
13:22:56.516334,"0x5e71,",[DL],113
13:22:56.535273,"0x5e71,",[DL],113
13:22:56.543300,"0x5e71,",[DL],285
13:22:56.553244,"0x5e71,",[DL],67
13:22:56.554330,"0x5e71,",[DL],317
13:22:56.559629,"0x5e71,",[DL],22
13:22:56.568372,"0x5e71,",[DL],1431
13:22:56.570650,"0x5e71,",[DL],301
13:22:56.575243,"0x5e71,",[DL],67
13:22:56.579237,"0x5e71,",[DL],67
13:22:56.609211,"0x5e71,",[DL],67
13:22:56.614323,"0x5e71,",[DL],67
13:22:56.837296,"0x5e71,",[DL],645
13:22:56.838329,"0x5e71,",[DL],621
13:22:56.842333,"0x5e71,",[DL],573
13:22:56.868817,"0x5e71,",[DL],22
13:22:56.871945,"0x5e71,",[DL],125
13:22:57.079270,"0x5e71,",[DL],693
13:22:57.080307,"0x5e71,",[DL],0
13:22:57.082350,"0x5e71,",[DL],1431
13:22:57.084263,"0x5e71,",[DL],1287
13:22:57.085247,"0x5e71,",[DL],141
13:22:57.092416,"0x5e71,",[DL],1431
13:22:57.092761,"0x5e71,",[DL],0
13:22:57.095905,"0x5e71,",[DL],0
13:22:57.096760,"0x5e71,",[DL],0
13:22:57.097810,"0x5e71,",[DL],0
13:22:57.099890,"0x5e71,",[DL],0
13:22:57.101804,"0x5e71,",[DL],0
13:22:57.103762,"0x5e71,",[DL],0
13:22:57.105973,"0x5e71,",[DL],0
13:22:57.107690,"0x5e71,",[DL],217
13:22:57.126284,"0x5e71,",[DL],22
13:22:57.399849,"0x5e71,",[DL],935
13:22:57.402563,"0x5e71,",[DL],645
13:22:57.403692,"0x5e71,",[DL],1287
13:22:57.406757,"0x5e71,",[DL],935
13:22:57.407317,"0x5e71,",[DL],935
13:22:57.415800,"0x5e71,",[DL],935
13:22:57.476610,"0x5e71,",[DL],22
13:22:58.000000,"0x5e71,",[DL],22
13:22:59.000000,"0x5e71,",[DL],22
13:23:00.000000,"0x5e71,",[DL],22
13:23:01.000000,"0x5e71,",[DL],22
13:23:01.204903,"0x5e71,",[DL],77
13:23:01.218780,"0x5e71,",[DL],22
13:23:01.224876,"0x5e71,",[DL],0
13:23:01.225962,"0x5e71,",[DL],269
13:23:01.233062,"0x5e71,",[DL],0
13:23:01.268743,"0x5e71,",[DL],22
13:23:01.284868,"0x5e71,",[DL],249
13:23:01.307388,"0x5e71,",[DL],113
13:23:01.308347,"0x5e71,",[DL],269
13:23:01.321238,"0x5e71,",[DL],22
13:23:01.327283,"0x5e71,",[DL],77
13:23:01.347380,"0x5e71,",[DL],67
13:23:01.348216,"0x5e71,",[DL],2481
13:23:01.371381,"0x5e71,",[DL],22
13:23:01.387244,"0x5e71,",[DL],113
13:23:01.411830,"0x5e71,",[DL],67
13:23:01.418798,"0x5e71,",[DL],22
13:23:01.795224,"0x5e71,",[DL],357
13:23:02.352710,"0x5e71,",[DL],11
13:23:02.353653,"0x5e71,",[DL],11
13:23:02.354899,"0x5e71,",[DL],11
13:23:02.355720,"0x5e71,",[DL],11
13:23:02.358776,"0x5e71,",[DL],11
13:23:02.359292,"0x5e71,",[DL],11
13:23:02.360213,"0x5e71,",[DL],11
13:23:02.360746,"0x5e71,",[DL],11
13:23:02.361737,"0x5e71,",[DL],11
13:23:02.362724,"0x5e71,",[DL],11
13:23:02.363737,"0x5e71,",[DL],11
13:23:02.366837,"0x5e71,",[DL],11
13:23:02.367210,"0x5e71,",[DL],11
13:23:02.368199,"0x5e71,",[DL],11
13:23:02.368834,"0x5e71,",[DL],11
13:23:02.369798,"0x5e71,",[DL],11
13:23:02.370780,"0x5e71,",[DL],11
13:23:02.371711,"0x5e71,",[DL],11
13:23:02.372784,"0x5e71,",[DL],11
13:23:02.373747,"0x5e71,",[DL],11
13:23:02.374840,"0x5e71,",[DL],11
13:23:02.375758,"0x5e71,",[DL],11
13:23:02.376785,"0x5e71,",[DL],11
13:23:02.377784,"0x5e71,",[DL],11
13:23:02.378690,"0x5e71,",[DL],11
13:23:02.380741,"0x5e71,",[DL],11
13:23:02.381838,"0x5e71,",[DL],11
13:23:02.383805,"0x5e71,",[DL],11
13:23:02.384482,"0x5e71,",[DL],11
13:23:02.385893,"0x5e71,",[DL],11
13:23:02.386518,"0x5e71,",[DL],11
13:23:02.386723,"0x5e71,",[DL],11
13:23:02.409865,"0x5e71,",[DL],22
13:23:02.417777,"0x5e71,",[DL],0
13:23:02.491168,"0x5e71,",[DL],22
13:23:03.235249,"0x5e71,",[DL],693
13:23:03.236174,"0x5e71,",[DL],2124
13:23:03.240288,"0x5e71,",[DL],469
13:23:03.247273,"0x5e71,",[DL],125
13:23:03.270802,"0x5e71,",[DL],77
13:23:03.271765,"0x5e71,",[DL],67
13:23:03.313190,"0x5e71,",[DL],317
13:23:03.345495,"0x5e71,",[DL],22
13:23:03.366436,"0x5e71,",[DL],249
13:23:03.391853,"0x5e71,",[DL],67
13:23:03.411792,"0x5e71,",[DL],903
13:23:03.431878,"0x5e71,",[DL],67
