time,rnti,link,tbs_ul
17:53:02.064384,"0xcd58,",[UL],22
17:53:02.106900,"0xcd58,",[UL],317
17:53:02.154815,"0xcd58,",[UL],317
17:53:02.170772,"0xcd58,",[UL],317
17:53:02.446924,"0xcd58,",[UL],97
17:53:02.453911,"0xcd58,",[UL],55
17:53:02.467892,"0xcd58,",[UL],32
17:53:02.481821,"0xcd58,",[UL],65
17:53:02.488801,"0xcd58,",[UL],73
17:53:02.502906,"0xcd58,",[UL],65
17:53:02.506922,"0xcd58,",[UL],285
17:53:02.513879,"0xcd58,",[UL],65
17:53:02.516861,"0xcd58,",[UL],73
17:53:02.524395,"0xcd58,",[UL],65
17:53:02.536374,"0xcd58,",[UL],193
17:53:02.551353,"0xcd58,",[UL],0
17:53:02.558280,"0xcd58,",[UL],65
17:53:03.026935,"0xcd58,",[UL],285
17:53:03.047356,"0xcd58,",[UL],317
17:53:03.068886,"0xcd58,",[UL],157
17:53:04.000000,"0xcd58,",[UL],157
17:53:05.000000,"0xcd58,",[UL],157
17:53:06.000000,"0xcd58,",[UL],157
17:53:07.000000,"0xcd58,",[UL],157
17:53:08.000000,"0xcd58,",[UL],157
17:53:09.000000,"0xcd58,",[UL],157
17:53:10.000000,"0xcd58,",[UL],157
17:53:11.000000,"0xcd58,",[UL],157
17:53:12.000000,"0xcd58,",[UL],157
17:53:13.000000,"0xcd58,",[UL],157
17:53:14.000000,"0xcd58,",[UL],157
17:53:15.000000,"0xcd58,",[UL],157
17:53:16.000000,"0xcd58,",[UL],157
17:53:17.000000,"0xcd58,",[UL],157
17:53:18.000000,"0xcd58,",[UL],157
17:53:19.000000,"0xcd58,",[UL],157
17:53:20.000000,"0xcd58,",[UL],157
17:53:21.000000,"0xcd58,",[UL],157
17:53:22.000000,"0xcd58,",[UL],157
17:53:23.000000,"0xcd58,",[UL],157
17:53:24.000000,"0xcd58,",[UL],157
17:53:25.000000,"0xcd58,",[UL],157
17:53:26.000000,"0xcd58,",[UL],157
17:53:27.000000,"0xcd58,",[UL],157
17:53:28.000000,"0xcd58,",[UL],157
17:53:29.000000,"0xcd58,",[UL],157
17:53:30.000000,"0xcd58,",[UL],157
17:53:31.000000,"0xcd58,",[UL],157
17:53:32.000000,"0xcd58,",[UL],157
17:53:33.000000,"0xcd58,",[UL],157
17:53:34.000000,"0xcd58,",[UL],157
17:53:35.000000,"0xcd58,",[UL],157
17:53:36.000000,"0xcd58,",[UL],157
17:53:37.000000,"0xcd58,",[UL],157
17:53:38.000000,"0xcd58,",[UL],157
17:53:39.000000,"0xcd58,",[UL],157
17:53:40.000000,"0xcd58,",[UL],157
17:53:41.000000,"0xcd58,",[UL],157
17:53:42.000000,"0xcd58,",[UL],157
17:53:43.000000,"0xcd58,",[UL],157
17:53:44.000000,"0xcd58,",[UL],157
17:53:45.000000,"0xcd58,",[UL],157
17:53:46.000000,"0xcd58,",[UL],157
17:53:47.000000,"0xcd58,",[UL],157
17:53:48.000000,"0xcd58,",[UL],157
17:53:49.000000,"0xcd58,",[UL],157
17:53:50.000000,"0xcd58,",[UL],157
17:53:51.000000,"0xcd58,",[UL],157
17:53:52.000000,"0xcd58,",[UL],157
17:53:53.000000,"0xcd58,",[UL],157
17:53:54.000000,"0xcd58,",[UL],157
17:53:55.000000,"0xcd58,",[UL],157
17:53:56.000000,"0xcd58,",[UL],157
17:53:57.000000,"0xcd58,",[UL],157
17:53:58.000000,"0xcd58,",[UL],157
17:53:59.000000,"0xcd58,",[UL],157
17:54:00.000000,"0xcd58,",[UL],157
17:54:01.000000,"0xcd58,",[UL],157
17:54:02.000000,"0xcd58,",[UL],157
17:54:03.000000,"0xcd58,",[UL],157
17:54:04.000000,"0xcd58,",[UL],157
17:54:05.000000,"0xcd58,",[UL],157
17:54:06.000000,"0xcd58,",[UL],157
17:54:07.000000,"0xcd58,",[UL],157
17:54:08.000000,"0xcd58,",[UL],157
17:54:09.000000,"0xcd58,",[UL],157
17:54:10.000000,"0xcd58,",[UL],157
17:54:11.000000,"0xcd58,",[UL],157
17:54:12.000000,"0xcd58,",[UL],157
17:54:13.000000,"0xcd58,",[UL],157
17:54:14.000000,"0xcd58,",[UL],157
17:54:15.000000,"0xcd58,",[UL],157
17:54:16.000000,"0xcd58,",[UL],157
17:54:17.000000,"0xcd58,",[UL],157
17:54:18.000000,"0xcd58,",[UL],157
17:54:19.000000,"0xcd58,",[UL],157
17:54:20.000000,"0xcd58,",[UL],157
17:54:21.000000,"0xcd58,",[UL],157
17:54:21.463961,"0xcd58,",[UL],22
17:54:21.495897,"0xcd58,",[UL],11
17:54:21.502873,"0xcd58,",[UL],11
17:54:21.504038,"0xcd58,",[UL],11
17:54:21.535917,"0xcd58,",[UL],49
17:54:21.542921,"0xcd58,",[UL],317
17:54:22.000000,"0xcd58,",[UL],317
17:54:23.000000,"0xcd58,",[UL],317
17:54:24.000000,"0xcd58,",[UL],317
17:54:25.000000,"0xcd58,",[UL],317
17:54:26.000000,"0xcd58,",[UL],317
17:54:26.681998,"0xcd58,",[UL],0
17:54:27.162013,"0xcd58,",[UL],0
17:54:27.213959,"0xcd58,",[UL],317
17:54:27.313892,"0xcd58,",[UL],233
17:54:27.329969,"0xcd58,",[UL],233
17:54:27.345890,"0xcd58,",[UL],233
17:54:27.394074,"0xcd58,",[UL],233
17:54:28.013792,"0xcd58,",[UL],97
17:54:29.000000,"0xcd58,",[UL],97
17:54:30.000000,"0xcd58,",[UL],97
17:54:31.000000,"0xcd58,",[UL],97
17:54:32.000000,"0xcd58,",[UL],97
17:54:33.000000,"0xcd58,",[UL],97
17:54:34.000000,"0xcd58,",[UL],97
17:54:34.363385,"0xcd58,",[UL],157
17:54:35.033919,"0xcd58,",[UL],317
17:54:35.039330,"0xcd58,",[UL],317
17:54:36.000000,"0xcd58,",[UL],317
17:54:37.000000,"0xcd58,",[UL],317
17:54:38.000000,"0xcd58,",[UL],317
17:54:39.000000,"0xcd58,",[UL],317
17:54:40.000000,"0xcd58,",[UL],317
17:54:41.000000,"0xcd58,",[UL],317
17:54:42.000000,"0xcd58,",[UL],317
17:54:43.000000,"0xcd58,",[UL],317
17:54:44.000000,"0xcd58,",[UL],317
17:54:45.000000,"0xcd58,",[UL],317
17:54:46.000000,"0xcd58,",[UL],317
17:54:47.000000,"0xcd58,",[UL],317
17:54:48.000000,"0xcd58,",[UL],317
17:54:49.000000,"0xcd58,",[UL],317
17:54:50.000000,"0xcd58,",[UL],317
17:54:51.000000,"0xcd58,",[UL],317
17:54:52.000000,"0xcd58,",[UL],317
17:54:53.000000,"0xcd58,",[UL],317
17:54:54.000000,"0xcd58,",[UL],317
17:54:55.000000,"0xcd58,",[UL],317
17:54:56.000000,"0xcd58,",[UL],317
17:54:57.000000,"0xcd58,",[UL],317
17:54:58.000000,"0xcd58,",[UL],317
17:54:59.000000,"0xcd58,",[UL],317
17:55:00.000000,"0xcd58,",[UL],317
17:55:01.000000,"0xcd58,",[UL],317
17:55:02.000000,"0xcd58,",[UL],317
17:55:03.000000,"0xcd58,",[UL],317
17:55:04.000000,"0xcd58,",[UL],317
17:55:05.000000,"0xcd58,",[UL],317
17:55:06.000000,"0xcd58,",[UL],317
17:55:07.000000,"0xcd58,",[UL],317
17:55:08.000000,"0xcd58,",[UL],317
17:55:09.000000,"0xcd58,",[UL],317
17:55:10.000000,"0xcd58,",[UL],317
17:55:11.000000,"0xcd58,",[UL],317
17:55:12.000000,"0xcd58,",[UL],317
17:55:13.000000,"0xcd58,",[UL],317
17:55:14.000000,"0xcd58,",[UL],317
17:55:15.000000,"0xcd58,",[UL],317
17:55:16.000000,"0xcd58,",[UL],317
17:55:17.000000,"0xcd58,",[UL],317
17:55:18.000000,"0xcd58,",[UL],317
17:55:19.000000,"0xcd58,",[UL],317
17:55:20.000000,"0xcd58,",[UL],317
17:55:21.000000,"0xcd58,",[UL],317
17:55:22.000000,"0xcd58,",[UL],317
17:55:23.000000,"0xcd58,",[UL],317
17:55:24.000000,"0xcd58,",[UL],317
17:55:25.000000,"0xcd58,",[UL],317
17:55:26.000000,"0xcd58,",[UL],317
17:55:27.000000,"0xcd58,",[UL],317
17:55:28.000000,"0xcd58,",[UL],317
17:55:29.000000,"0xcd58,",[UL],317
17:55:30.000000,"0xcd58,",[UL],317
17:55:31.000000,"0xcd58,",[UL],317
17:55:32.000000,"0xcd58,",[UL],317
17:55:33.000000,"0xcd58,",[UL],317
17:55:34.000000,"0xcd58,",[UL],317
17:55:35.000000,"0xcd58,",[UL],317
17:55:36.000000,"0xcd58,",[UL],317
17:55:37.000000,"0xcd58,",[UL],317
17:55:38.000000,"0xcd58,",[UL],317
17:55:39.000000,"0xcd58,",[UL],317
17:55:40.000000,"0xcd58,",[UL],317
