time,rnti,link,tbs_ul
13:22:15.702716,"0x6a34,",[UL],22
13:22:15.845210,"0x6a34,",[UL],373
13:22:16.642820,"0x6a34,",[UL],317
13:22:16.705176,"0x6a34,",[UL],373
13:22:17.000000,"0x6a34,",[UL],373
13:22:18.000000,"0x6a34,",[UL],373
13:22:19.000000,"0x6a34,",[UL],373
13:22:20.000000,"0x6a34,",[UL],373
13:22:20.684882,"0x6a34,",[UL],5477
13:22:20.722778,"0x6a34,",[UL],373
13:22:20.729853,"0x6a34,",[UL],2961
13:22:20.785339,"0x6a34,",[UL],373
13:22:20.805219,"0x6a34,",[UL],373
13:22:21.000000,"0x6a34,",[UL],373
13:22:22.000000,"0x6a34,",[UL],373
13:22:22.847677,"0x6a34,",[UL],22
13:22:22.854778,"0x6a34,",[UL],233
13:22:23.000000,"0x6a34,",[UL],233
13:22:24.000000,"0x6a34,",[UL],233
13:22:25.000000,"0x6a34,",[UL],233
13:22:26.000000,"0x6a34,",[UL],233
13:22:27.000000,"0x6a34,",[UL],233
13:22:28.000000,"0x6a34,",[UL],233
13:22:29.000000,"0x6a34,",[UL],233
13:22:29.782856,"0x6a34,",[UL],22
13:22:29.789869,"0x6a34,",[UL],157
13:22:29.822882,"0x6a34,",[UL],373
13:22:30.062735,"0x6a34,",[UL],373
13:22:30.073199,"0x6a34,",[UL],0
13:22:30.102808,"0x6a34,",[UL],373
13:22:31.000000,"0x6a34,",[UL],373
13:22:32.000000,"0x6a34,",[UL],373
13:22:33.000000,"0x6a34,",[UL],373
13:22:34.000000,"0x6a34,",[UL],373
13:22:35.000000,"0x6a34,",[UL],373
13:22:36.000000,"0x6a34,",[UL],373
13:22:37.000000,"0x6a34,",[UL],373
13:22:38.000000,"0x6a34,",[UL],373
13:22:39.000000,"0x6a34,",[UL],373
13:22:40.000000,"0x6a34,",[UL],373
13:22:41.000000,"0x6a34,",[UL],373
13:22:42.000000,"0x6a34,",[UL],373
13:22:43.000000,"0x6a34,",[UL],373
13:22:44.000000,"0x6a34,",[UL],373
13:22:45.000000,"0x6a34,",[UL],373
13:22:46.000000,"0x6a34,",[UL],373
13:22:47.000000,"0x6a34,",[UL],373
13:22:48.000000,"0x6a34,",[UL],373
13:22:49.000000,"0x6a34,",[UL],373
13:22:50.000000,"0x6a34,",[UL],373
13:22:51.000000,"0x6a34,",[UL],373
13:22:51.853914,"0x5e71,",[UL],22
13:22:51.961812,"0x5e71,",[UL],0
13:22:52.013795,"0x5e71,",[UL],317
13:22:53.000000,"0x5e71,",[UL],317
13:22:54.000000,"0x5e71,",[UL],317
13:22:54.363231,"0x5e71,",[UL],177
13:22:55.000000,"0x5e71,",[UL],177
13:22:56.000000,"0x5e71,",[UL],177
13:22:56.243322,"0x5e71,",[UL],77
13:22:56.363249,"0x5e71,",[UL],1191
13:22:56.401769,"0x5e71,",[UL],0
13:22:56.436895,"0x5e71,",[UL],317
13:22:56.456169,"0x5e71,",[UL],285
13:22:56.496228,"0x5e71,",[UL],269
13:22:56.516315,"0x5e71,",[UL],317
13:22:56.523241,"0x5e71,",[UL],317
13:22:56.538272,"0x5e71,",[UL],4736
13:22:56.563178,"0x5e71,",[UL],1572
13:22:56.583164,"0x5e71,",[UL],317
13:22:56.598221,"0x5e71,",[UL],2124
13:22:56.860741,"0x5e71,",[UL],1908
13:22:57.100806,"0x5e71,",[UL],373
13:22:57.108681,"0x5e71,",[UL],233
13:22:57.115882,"0x5e71,",[UL],133
13:22:57.156147,"0x5e71,",[UL],233
13:22:57.176163,"0x5e71,",[UL],217
13:22:57.416328,"0x5e71,",[UL],317
13:22:57.436282,"0x5e71,",[UL],317
13:22:57.445732,"0x5e71,",[UL],149
13:22:57.453770,"0x5e71,",[UL],0
13:22:58.000000,"0x5e71,",[UL],0
13:22:59.000000,"0x5e71,",[UL],0
13:23:00.000000,"0x5e71,",[UL],0
13:23:01.000000,"0x5e71,",[UL],0
13:23:01.213707,"0x5e71,",[UL],373
13:23:01.253780,"0x5e71,",[UL],373
13:23:01.273763,"0x5e71,",[UL],373
13:23:01.296196,"0x5e71,",[UL],373
13:23:01.303351,"0x5e71,",[UL],1383
13:23:01.316290,"0x5e71,",[UL],373
13:23:01.336225,"0x5e71,",[UL],373
13:23:01.356126,"0x5e71,",[UL],317
13:23:01.376126,"0x5e71,",[UL],317
13:23:01.393756,"0x5e71,",[UL],317
13:23:01.401746,"0x5e71,",[UL],301
13:23:01.402790,"0x5e71,",[UL],69
13:23:01.433729,"0x5e71,",[UL],317
13:23:01.816207,"0x5e71,",[UL],301
13:23:02.393716,"0x5e71,",[UL],317
13:23:02.401784,"0x5e71,",[UL],0
13:23:02.456215,"0x5e71,",[UL],249
13:23:02.476193,"0x5e71,",[UL],233
13:23:02.483191,"0x5e71,",[UL],1143
13:23:02.524238,"0x5e71,",[UL],0
13:23:02.532212,"0x5e71,",[UL],0
13:23:03.236152,"0x5e71,",[UL],317
13:23:03.263224,"0x5e71,",[UL],269
13:23:03.296581,"0x5e71,",[UL],317
13:23:03.303236,"0x5e71,",[UL],469
13:23:03.316266,"0x5e71,",[UL],317
13:23:03.336182,"0x5e71,",[UL],317
13:23:03.356230,"0x5e71,",[UL],317
13:23:03.376121,"0x5e71,",[UL],317
13:23:03.436147,"0x5e71,",[UL],317
13:23:03.496216,"0x5e71,",[UL],317
13:23:03.653840,"0x5e71,",[UL],317
13:23:03.696768,"0x5e71,",[UL],373
13:23:03.716192,"0x5e71,",[UL],373
13:23:04.053792,"0x5e71,",[UL],317
13:23:04.060818,"0x5e71,",[UL],645
13:23:04.073879,"0x5e71,",[UL],317
13:23:04.113803,"0x5e71,",[UL],317
13:23:04.123284,"0x5e71,",[UL],469
13:23:04.136172,"0x5e71,",[UL],317
13:23:04.156185,"0x5e71,",[UL],317
13:23:04.163224,"0x5e71,",[UL],373
13:23:04.171678,"0x5e71,",[UL],0
13:23:04.176218,"0x5e71,",[UL],317
13:23:04.916192,"0x5e71,",[UL],373
13:23:04.936208,"0x5e71,",[UL],373
13:23:04.956157,"0x5e71,",[UL],317
13:23:05.033744,"0x5e71,",[UL],373
13:23:05.056149,"0x5e71,",[UL],317
13:23:05.078569,"0x5e71,",[UL],317
13:23:05.083133,"0x5e71,",[UL],645
13:23:05.123160,"0x5e71,",[UL],7407
13:23:05.143211,"0x5e71,",[UL],317
13:23:05.158135,"0x5e71,",[UL],249
13:23:05.159202,"0x5e71,",[UL],55
13:23:05.173767,"0x5e71,",[UL],317
13:23:05.180829,"0x5e71,",[UL],1572
13:23:05.193805,"0x5e71,",[UL],285
13:23:05.200791,"0x5e71,",[UL],2577
13:23:05.208721,"0x5e71,",[UL],317
13:23:05.215783,"0x5e71,",[UL],2124
13:23:05.245715,"0x5e71,",[UL],1836
13:23:05.246295,"0x5e71,",[UL],2577
13:23:05.248232,"0x5e71,",[UL],2865
13:23:05.256235,"0x5e71,",[UL],249
13:23:05.266001,"0x5e71,",[UL],3062
13:23:05.266688,"0x5e71,",[UL],125
13:23:05.280183,"0x5e71,",[UL],4107
13:23:05.296225,"0x5e71,",[UL],269
13:23:05.303180,"0x5e71,",[UL],1063
13:23:05.333756,"0x5e71,",[UL],317
13:23:05.364233,"0x5e71,",[UL],0
13:23:05.453773,"0x5e71,",[UL],373
13:23:05.516157,"0x5e71,",[UL],285
13:23:05.556124,"0x5e71,",[UL],249
13:23:05.576252,"0x5e71,",[UL],249
13:23:05.596212,"0x5e71,",[UL],249
13:23:05.603178,"0x5e71,",[UL],4736
13:23:05.613732,"0x5e71,",[UL],373
13:23:05.624193,"0x5e71,",[UL],0
13:23:05.733777,"0x5e71,",[UL],373
13:23:05.740777,"0x5e71,",[UL],8324
13:23:05.741745,"0x5e71,",[UL],1836
13:23:05.773820,"0x5e71,",[UL],373
13:23:05.781742,"0x5e71,",[UL],0
13:23:05.793762,"0x5e71,",[UL],373
13:23:05.801746,"0x5e71,",[UL],0
13:23:05.833666,"0x5e71,",[UL],373
13:23:05.873793,"0x5e71,",[UL],317
13:23:05.881710,"0x5e71,",[UL],0
13:23:05.888707,"0x5e71,",[UL],6378
13:23:05.889816,"0x5e71,",[UL],1908
13:23:05.890679,"0x5e71,",[UL],333
13:23:05.891707,"0x5e71,",[UL],55
13:23:05.913747,"0x5e71,",[UL],317
13:23:05.920767,"0x5e71,",[UL],1383
13:23:05.935778,"0x5e71,",[UL],317
13:23:05.953802,"0x5e71,",[UL],301
13:23:05.960722,"0x5e71,",[UL],1572
13:23:05.973792,"0x5e71,",[UL],317
13:23:05.993741,"0x5e71,",[UL],301
13:23:06.000755,"0x5e71,",[UL],6378
13:23:06.001783,"0x5e71,",[UL],5861
13:23:06.002701,"0x5e71,",[UL],5669
13:23:06.003755,"0x5e71,",[UL],1191
13:23:06.008767,"0x5e71,",[UL],0
13:23:06.010850,"0x5e71,",[UL],0
13:23:06.035619,"0x5e71,",[UL],317
13:23:06.053680,"0x5e71,",[UL],317
13:23:06.073771,"0x5e71,",[UL],317
13:23:06.080890,"0x5e71,",[UL],2865
13:23:06.093877,"0x5e71,",[UL],317
13:23:06.113638,"0x5e71,",[UL],373
13:23:06.120736,"0x5e71,",[UL],2961
13:23:06.121703,"0x5e71,",[UL],469
13:23:06.128762,"0x5e71,",[UL],0
13:23:06.153760,"0x5e71,",[UL],317
13:23:06.160797,"0x5e71,",[UL],1191
13:23:06.193765,"0x5e71,",[UL],317
13:23:06.200832,"0x5e71,",[UL],717
13:23:06.213791,"0x5e71,",[UL],317
13:23:06.233738,"0x5e71,",[UL],301
13:23:06.240766,"0x5e71,",[UL],2124
13:23:06.241717,"0x5e71,",[UL],1143
13:23:06.242816,"0x5e71,",[UL],105
13:23:06.273649,"0x5e71,",[UL],317
13:23:06.333693,"0x5e71,",[UL],317
13:23:06.341697,"0x5e71,",[UL],0
13:23:06.348700,"0x5e71,",[UL],2865
13:23:06.349751,"0x5e71,",[UL],645
13:23:06.373908,"0x5e71,",[UL],317
13:23:06.396263,"0x5e71,",[UL],317
13:23:06.436209,"0x5e71,",[UL],317
13:23:06.773761,"0x5e71,",[UL],317
13:23:06.793744,"0x5e71,",[UL],317
13:23:06.801790,"0x5e71,",[UL],0
13:23:06.833703,"0x5e71,",[UL],317
13:23:06.873653,"0x5e71,",[UL],317
13:23:06.893773,"0x5e71,",[UL],317
13:23:06.900756,"0x5e71,",[UL],405
13:23:06.901687,"0x5e71,",[UL],55
13:23:06.933783,"0x5e71,",[UL],317
13:23:06.940777,"0x5e71,",[UL],3542
13:23:06.973768,"0x5e71,",[UL],317
13:23:06.993875,"0x5e71,",[UL],317
13:23:07.053723,"0x5e71,",[UL],317
13:23:07.176171,"0x5e71,",[UL],317
13:23:07.236194,"0x5e71,",[UL],317
13:23:08.053768,"0x5e71,",[UL],317
