time,rnti,link,tbs_dl
21:58:53.282530,"0x9b67,",[DL],43
21:58:53.304357,"0x9b67,",[DL],125
21:58:53.320996,"0x9b67,",[DL],26
21:58:53.328015,"0x9b67,",[DL],59
21:58:53.332989,"0x9b67,",[DL],11
21:58:53.335979,"0x9b67,",[DL],67
21:58:53.353129,"0x9b67,",[DL],11
21:58:53.364179,"0x9b67,",[DL],0
21:58:53.372501,"0x9b67,",[DL],11
21:58:53.386028,"0x9b67,",[DL],49
21:58:54.000000,"0x9b67,",[DL],49
21:58:54.932466,"0x9b67,",[DL],11
21:58:55.307066,"0x9b67,",[DL],11
21:58:55.309936,"0x9b67,",[DL],41
21:58:55.310988,"0x9b67,",[DL],11
21:58:55.312103,"0x9b67,",[DL],11
21:58:55.334305,"0x9b67,",[DL],269
21:58:55.356075,"0x9b67,",[DL],67
21:58:56.000000,"0x9b67,",[DL],67
21:58:57.000000,"0x9b67,",[DL],67
21:58:57.152948,"0x9b67,",[DL],11
21:58:57.154937,"0x9b67,",[DL],97
21:58:57.156044,"0x9b67,",[DL],53
21:58:57.157039,"0x9b67,",[DL],41
21:58:57.158099,"0x9b67,",[DL],26
21:58:57.159166,"0x9b67,",[DL],11
21:58:57.160078,"0x9b67,",[DL],11
21:58:57.161051,"0x9b67,",[DL],11
21:58:57.200661,"0x9b67,",[DL],67
21:58:57.353044,"0x9b67,",[DL],22
21:58:57.354158,"0x9b67,",[DL],67
21:58:57.456042,"0x9b67,",[DL],22
21:58:57.458074,"0x9b67,",[DL],233
21:58:57.473052,"0x9b67,",[DL],85
21:58:57.476077,"0x9b67,",[DL],871
21:58:57.494183,"0x9b67,",[DL],67
21:58:57.494985,"0x9b67,",[DL],693
21:58:57.496081,"0x9b67,",[DL],1239
21:58:57.497049,"0x9b67,",[DL],67
21:58:57.504146,"0x9b67,",[DL],233
21:58:57.506023,"0x9b67,",[DL],501
21:58:57.514056,"0x9b67,",[DL],501
21:58:57.554389,"0x9b67,",[DL],4251
21:58:57.556182,"0x9b67,",[DL],22
21:58:57.605998,"0x9b67,",[DL],22
21:58:58.187964,"0x9b67,",[DL],293
21:58:58.189228,"0x9b67,",[DL],67
21:58:58.193005,"0x9b67,",[DL],11
21:58:58.196195,"0x9b67,",[DL],293
21:58:58.196261,"0x9b67,",[DL],85
21:58:58.197034,"0x9b67,",[DL],807
21:58:58.206216,"0x9b67,",[DL],67
21:58:58.209155,"0x9b67,",[DL],1287
21:58:58.219057,"0x9b67,",[DL],177
21:58:58.223037,"0x9b67,",[DL],269
21:58:58.242925,"0x9b67,",[DL],421
21:58:58.248008,"0x9b67,",[DL],97
21:58:58.463143,"0x9b67,",[DL],67
21:58:58.646987,"0x9b67,",[DL],11
21:58:58.649160,"0x9b67,",[DL],53
21:58:58.650129,"0x9b67,",[DL],11
21:58:58.651005,"0x9b67,",[DL],11
21:58:58.664117,"0x9b67,",[DL],2769
21:58:58.665027,"0x9b67,",[DL],573
21:58:58.674078,"0x9b67,",[DL],67
21:58:58.674966,"0x9b67,",[DL],2481
21:58:58.696036,"0x9b67,",[DL],22
21:58:58.737175,"0x9b67,",[DL],501
