time,rnti,link,tbs_dl
20:33:39.319490,"0x84ce,",[DL],43
20:33:39.335471,"0x84ce,",[DL],11
20:33:39.342570,"0x84ce,",[DL],125
20:33:39.359492,"0x84ce,",[DL],22
20:33:39.361486,"0x84ce,",[DL],22
20:33:39.368472,"0x84ce,",[DL],903
20:33:39.370889,"0x84ce,",[DL],22
20:33:39.374452,"0x84ce,",[DL],67
20:33:39.388307,"0x84ce,",[DL],22
20:33:39.401475,"0x84ce,",[DL],67
20:33:39.409467,"0x84ce,",[DL],269
20:33:39.411484,"0x84ce,",[DL],22
20:33:39.461436,"0x84ce,",[DL],22
20:33:39.752497,"0x84ce,",[DL],421
20:33:39.753566,"0x84ce,",[DL],113
20:33:39.754560,"0x84ce,",[DL],141
20:33:39.760535,"0x84ce,",[DL],301
20:33:39.769658,"0x84ce,",[DL],249
20:33:39.771489,"0x84ce,",[DL],807
20:33:39.781475,"0x84ce,",[DL],67
20:33:39.782434,"0x84ce,",[DL],1335
20:33:39.784454,"0x84ce,",[DL],217
20:33:39.785466,"0x84ce,",[DL],1287
20:33:39.788487,"0x84ce,",[DL],67
20:33:39.789519,"0x84ce,",[DL],437
20:33:39.794660,"0x84ce,",[DL],1287
20:33:39.801481,"0x84ce,",[DL],22
20:33:39.815949,"0x84ce,",[DL],0
20:33:39.823605,"0x84ce,",[DL],0
20:33:39.847604,"0x84ce,",[DL],217
20:33:39.851443,"0x84ce,",[DL],22
20:33:39.911514,"0x84ce,",[DL],22
20:33:39.914595,"0x84ce,",[DL],0
20:33:39.915477,"0x84ce,",[DL],193
20:33:39.922578,"0x84ce,",[DL],0
20:33:39.930568,"0x84ce,",[DL],193
20:33:39.940586,"0x84ce,",[DL],217
20:33:39.952466,"0x84ce,",[DL],193
20:33:39.953095,"0x84ce,",[DL],193
20:33:39.961505,"0x84ce,",[DL],285
20:33:39.969497,"0x84ce,",[DL],285
20:33:40.011466,"0x84ce,",[DL],22
20:33:40.922514,"0x84ce,",[DL],11
20:33:40.924477,"0x84ce,",[DL],125
20:33:40.971573,"0x84ce,",[DL],22
20:33:41.152533,"0x84ce,",[DL],49
20:33:41.168599,"0x84ce,",[DL],22
20:33:42.000000,"0x84ce,",[DL],22
20:33:43.000000,"0x84ce,",[DL],22
20:33:44.000000,"0x84ce,",[DL],22
20:33:45.000000,"0x84ce,",[DL],22
20:33:46.000000,"0x84ce,",[DL],22
20:33:47.000000,"0x84ce,",[DL],22
20:33:48.000000,"0x84ce,",[DL],22
20:33:49.000000,"0x84ce,",[DL],22
20:33:50.000000,"0x84ce,",[DL],22
20:33:51.000000,"0x84ce,",[DL],22
20:33:51.399606,"0xc81d,",[DL],43
20:33:51.417967,"0xc81d,",[DL],11
20:33:51.423775,"0xc81d,",[DL],125
20:33:51.441605,"0xc81d,",[DL],22
