time,rnti,link,tbs_dl
16:18:11.749146,"0x73a8,",[DL],43
16:18:11.772702,"0x73a8,",[DL],11
16:18:11.779672,"0x73a8,",[DL],26
16:18:11.781024,"0x73a8,",[DL],109
16:18:11.833886,"0x73a8,",[DL],81
16:18:11.854256,"0x73a8,",[DL],22
16:18:11.858315,"0x73a8,",[DL],67
16:18:11.862186,"0x73a8,",[DL],59
16:18:11.881148,"0x73a8,",[DL],22
16:18:12.782719,"0x73a8,",[DL],22
16:18:13.000000,"0x73a8,",[DL],22
16:18:13.831211,"0x73a8,",[DL],22
16:18:14.000000,"0x73a8,",[DL],22
16:18:15.000000,"0x73a8,",[DL],22
16:18:16.000000,"0x73a8,",[DL],22
16:18:17.000000,"0x73a8,",[DL],22
16:18:18.000000,"0x73a8,",[DL],22
16:18:19.000000,"0x73a8,",[DL],22
16:18:20.000000,"0x73a8,",[DL],22
16:18:21.000000,"0x73a8,",[DL],22
16:18:22.000000,"0x73a8,",[DL],22
16:18:23.000000,"0x73a8,",[DL],22
16:18:24.000000,"0x73a8,",[DL],22
16:18:24.619375,"0x2080,",[DL],43
16:18:24.637668,"0x2080,",[DL],11
16:18:24.644664,"0x2080,",[DL],26
16:18:24.646034,"0x2080,",[DL],109
16:18:24.706315,"0x2080,",[DL],137
16:18:24.725433,"0x2080,",[DL],11
16:18:24.728286,"0x2080,",[DL],125
16:18:24.745197,"0x2080,",[DL],11
16:18:24.764232,"0x2080,",[DL],59
16:18:24.775203,"0x2080,",[DL],22
16:18:25.026257,"0x2080,",[DL],903
16:18:25.045242,"0x2080,",[DL],22
16:18:25.068373,"0x2080,",[DL],59
16:18:25.095217,"0x2080,",[DL],22
16:18:25.097219,"0x2080,",[DL],113
16:18:25.145186,"0x2080,",[DL],22
16:18:25.167217,"0x2080,",[DL],97
16:18:25.195169,"0x2080,",[DL],22
16:18:26.176120,"0x2080,",[DL],11
16:18:26.177192,"0x2080,",[DL],81
16:18:26.178326,"0x2080,",[DL],11
16:18:26.245286,"0x2080,",[DL],22
16:18:26.247239,"0x2080,",[DL],97
16:18:27.000000,"0x2080,",[DL],97
16:18:27.274319,"0x2080,",[DL],67
16:18:27.275198,"0x2080,",[DL],26
16:18:27.335322,"0x2080,",[DL],22
16:18:27.338418,"0x2080,",[DL],97
16:18:27.576297,"0x2080,",[DL],11
16:18:27.577319,"0x2080,",[DL],81
16:18:27.578321,"0x2080,",[DL],26
16:18:27.579227,"0x2080,",[DL],11
16:18:27.580316,"0x2080,",[DL],11
16:18:27.625206,"0x2080,",[DL],22
16:18:27.816155,"0x2080,",[DL],41
16:18:27.817250,"0x2080,",[DL],26
16:18:27.818329,"0x2080,",[DL],11
16:18:27.835217,"0x2080,",[DL],77
16:18:27.838362,"0x2080,",[DL],67
16:18:27.865191,"0x2080,",[DL],22
16:18:27.915201,"0x2080,",[DL],0
16:18:27.925810,"0x2080,",[DL],0
16:18:27.994311,"0x2080,",[DL],97
16:18:28.016232,"0x2080,",[DL],22
16:18:28.056357,"0x2080,",[DL],193
16:18:28.075281,"0x2080,",[DL],22
16:18:28.111292,"0x2080,",[DL],77
16:18:28.115276,"0x2080,",[DL],67
16:18:28.143266,"0x2080,",[DL],22
16:18:28.193384,"0x2080,",[DL],22
16:18:28.243323,"0x2080,",[DL],22
16:18:28.336302,"0x2080,",[DL],0
16:18:28.338295,"0x2080,",[DL],97
16:18:28.385239,"0x2080,",[DL],22
16:18:28.404305,"0x2080,",[DL],97
16:18:28.437889,"0x2080,",[DL],22
16:18:28.495260,"0x2080,",[DL],22
16:18:28.521196,"0x2080,",[DL],77
16:18:28.545466,"0x2080,",[DL],22
16:18:28.583313,"0x2080,",[DL],67
16:18:28.584313,"0x2080,",[DL],2865
16:18:28.585300,"0x2080,",[DL],935
16:18:28.613335,"0x2080,",[DL],22
16:18:28.676240,"0x2080,",[DL],67
16:18:28.955408,"0x2080,",[DL],22
16:18:29.005246,"0x2080,",[DL],22
16:18:29.186316,"0x2080,",[DL],77
16:18:29.205247,"0x2080,",[DL],11
16:18:29.233343,"0x2080,",[DL],77
16:18:29.258347,"0x2080,",[DL],22
16:18:29.305285,"0x2080,",[DL],0
16:18:29.313484,"0x2080,",[DL],0
16:18:29.406346,"0x2080,",[DL],193
16:18:29.415511,"0x2080,",[DL],22
16:18:29.416921,"0x2080,",[DL],97
16:18:29.487281,"0x2080,",[DL],97
16:18:29.513303,"0x2080,",[DL],22
16:18:30.486293,"0x2080,",[DL],11
16:18:30.493450,"0x2080,",[DL],97
16:18:30.565272,"0x2080,",[DL],22
16:18:30.567408,"0x2080,",[DL],97
16:18:31.000000,"0x2080,",[DL],97
16:18:31.592351,"0x2080,",[DL],11
16:18:31.594335,"0x2080,",[DL],97
16:18:31.665243,"0x2080,",[DL],22
16:18:31.668330,"0x2080,",[DL],0
16:18:31.676382,"0x2080,",[DL],317
16:18:32.000000,"0x2080,",[DL],317
16:18:32.676396,"0x2080,",[DL],11
16:18:32.678336,"0x2080,",[DL],97
16:18:32.745328,"0x2080,",[DL],22
16:18:32.748424,"0x2080,",[DL],97
16:18:33.000000,"0x2080,",[DL],97
