time,rnti,link,tbs_dl
15:06:36.529469,"0xbc5a,",[DL],43
15:06:36.547821,"0xbc5a,",[DL],11
15:06:36.552553,"0xbc5a,",[DL],125
15:06:36.572392,"0xbc5a,",[DL],26
15:06:36.574343,"0xbc5a,",[DL],67
15:06:36.591418,"0xbc5a,",[DL],22
15:06:36.594412,"0xbc5a,",[DL],67
15:06:36.611332,"0xbc5a,",[DL],22
15:06:36.619920,"0xbc5a,",[DL],22
15:06:36.812500,"0xbc5a,",[DL],22
15:06:37.000000,"0xbc5a,",[DL],22
15:06:38.000000,"0xbc5a,",[DL],22
15:06:38.627890,"0xbc5a,",[DL],11
15:06:38.630868,"0xbc5a,",[DL],125
15:06:38.675345,"0xbc5a,",[DL],22
15:06:39.000000,"0xbc5a,",[DL],22
15:06:40.000000,"0xbc5a,",[DL],22
15:06:41.000000,"0xbc5a,",[DL],22
15:06:42.000000,"0xbc5a,",[DL],22
15:06:43.000000,"0xbc5a,",[DL],22
15:06:44.000000,"0xbc5a,",[DL],22
15:06:45.000000,"0xbc5a,",[DL],22
15:06:45.058644,"0xbc5a,",[DL],22
15:06:46.000000,"0xbc5a,",[DL],22
15:06:47.000000,"0xbc5a,",[DL],22
15:06:48.000000,"0xbc5a,",[DL],22
15:06:48.655398,"0xbc5a,",[DL],233
15:06:48.663465,"0xbc5a,",[DL],193
15:06:49.000000,"0xbc5a,",[DL],193
15:06:50.000000,"0xbc5a,",[DL],193
15:06:51.000000,"0xbc5a,",[DL],193
15:06:52.000000,"0xbc5a,",[DL],193
15:06:53.000000,"0xbc5a,",[DL],193
15:06:54.000000,"0xbc5a,",[DL],193
15:06:55.000000,"0xbc5a,",[DL],193
15:06:56.000000,"0xbc5a,",[DL],193
15:06:56.969541,"0x9ec6,",[DL],43
15:06:56.993245,"0x9ec6,",[DL],11
15:06:56.999558,"0x9ec6,",[DL],125
15:06:57.081465,"0x9ec6,",[DL],153
15:06:57.100520,"0x9ec6,",[DL],11
15:06:57.104395,"0x9ec6,",[DL],67
15:06:57.121397,"0x9ec6,",[DL],11
15:06:57.200381,"0x9ec6,",[DL],22
15:06:57.240370,"0x9ec6,",[DL],22
15:06:57.283586,"0x9ec6,",[DL],77
15:06:57.314410,"0x9ec6,",[DL],77
15:06:57.481357,"0x9ec6,",[DL],77
15:06:57.500607,"0x9ec6,",[DL],22
15:06:57.591331,"0x9ec6,",[DL],317
15:06:57.640523,"0x9ec6,",[DL],22
15:06:57.823612,"0x9ec6,",[DL],22
15:06:57.870585,"0x9ec6,",[DL],77
15:06:57.920499,"0x9ec6,",[DL],22
15:06:58.043828,"0x9ec6,",[DL],193
15:06:58.060376,"0x9ec6,",[DL],22
15:06:58.841406,"0x9ec6,",[DL],49
15:06:58.870486,"0x9ec6,",[DL],22
15:06:59.000000,"0x9ec6,",[DL],22
15:07:00.000000,"0x9ec6,",[DL],22
15:07:01.000000,"0x9ec6,",[DL],22
15:07:02.000000,"0x9ec6,",[DL],22
15:07:03.000000,"0x9ec6,",[DL],22
15:07:04.000000,"0x9ec6,",[DL],22
15:07:05.000000,"0x9ec6,",[DL],22
15:07:06.000000,"0x9ec6,",[DL],22
15:07:07.000000,"0x9ec6,",[DL],22
15:07:08.000000,"0x9ec6,",[DL],22
15:07:09.000000,"0x9ec6,",[DL],22
15:07:10.000000,"0x9ec6,",[DL],22
15:07:11.000000,"0x9ec6,",[DL],22
15:07:12.000000,"0x9ec6,",[DL],22
15:07:12.599451,"0x37c2,",[DL],43
15:07:12.615329,"0x37c2,",[DL],11
15:07:12.624818,"0x37c2,",[DL],26
15:07:12.626065,"0x37c2,",[DL],109
15:07:12.642826,"0x37c2,",[DL],26
15:07:12.649907,"0x37c2,",[DL],225
15:07:12.656026,"0x37c2,",[DL],22
15:07:12.661853,"0x37c2,",[DL],1692
15:07:12.699922,"0x37c2,",[DL],549
15:07:12.705945,"0x37c2,",[DL],67
15:07:12.712907,"0x37c2,",[DL],233
15:07:12.753459,"0x37c2,",[DL],22
15:07:13.055416,"0x37c2,",[DL],22
15:07:13.056475,"0x37c2,",[DL],141
15:07:13.083393,"0x37c2,",[DL],0
15:07:13.092356,"0x37c2,",[DL],113
15:07:13.099490,"0x37c2,",[DL],77
15:07:13.100423,"0x37c2,",[DL],77
15:07:13.101306,"0x37c2,",[DL],1980
15:07:13.104352,"0x37c2,",[DL],22
15:07:13.122414,"0x37c2,",[DL],67
15:07:13.123417,"0x37c2,",[DL],693
15:07:13.124372,"0x37c2,",[DL],621
15:07:13.131467,"0x37c2,",[DL],0
15:07:13.132365,"0x37c2,",[DL],0
15:07:13.133575,"0x37c2,",[DL],285
