time,rnti,link,tbs_dl
19:12:36.141693,"0x6e6d,",[DL],43
19:12:36.164109,"0x6e6d,",[DL],11
19:12:36.173281,"0x6e6d,",[DL],125
19:12:36.284142,"0x6e6d,",[DL],11
19:12:36.332767,"0x6e6d,",[DL],405
19:12:36.334123,"0x6e6d,",[DL],67
19:12:36.365870,"0x6e6d,",[DL],249
19:12:36.381584,"0x6e6d,",[DL],22
19:12:36.411653,"0x6e6d,",[DL],22
19:12:36.434095,"0x6e6d,",[DL],22
19:12:36.652662,"0x6e6d,",[DL],437
19:12:36.684089,"0x6e6d,",[DL],11
19:12:36.684679,"0x6e6d,",[DL],53
19:12:36.685622,"0x6e6d,",[DL],11
19:12:37.000000,"0x6e6d,",[DL],11
19:12:38.000000,"0x6e6d,",[DL],11
19:12:39.000000,"0x6e6d,",[DL],11
19:12:40.000000,"0x6e6d,",[DL],11
19:12:41.000000,"0x6e6d,",[DL],11
19:12:42.000000,"0x6e6d,",[DL],11
19:12:43.000000,"0x6e6d,",[DL],11
19:12:43.143716,"0x6e6d,",[DL],11
19:12:43.145769,"0x6e6d,",[DL],11
19:12:43.146695,"0x6e6d,",[DL],11
19:12:43.147369,"0x6e6d,",[DL],11
19:12:43.147738,"0x6e6d,",[DL],11
19:12:43.149747,"0x6e6d,",[DL],11
19:12:43.372865,"0x6e6d,",[DL],217
19:12:43.401713,"0x6e6d,",[DL],11
19:12:43.404678,"0x6e6d,",[DL],41
19:12:43.405800,"0x6e6d,",[DL],11
19:12:43.406861,"0x6e6d,",[DL],11
19:12:44.000000,"0x6e6d,",[DL],11
19:12:45.000000,"0x6e6d,",[DL],11
19:12:46.000000,"0x6e6d,",[DL],11
19:12:46.008888,"0x6e6d,",[DL],11
19:12:46.011729,"0x6e6d,",[DL],26
19:12:46.013275,"0x6e6d,",[DL],153
19:12:46.016030,"0x6e6d,",[DL],53
19:12:46.016774,"0x6e6d,",[DL],26
19:12:46.017447,"0x6e6d,",[DL],41
19:12:46.018703,"0x6e6d,",[DL],11
19:12:46.019708,"0x6e6d,",[DL],11
19:12:46.044677,"0x6e6d,",[DL],67
19:12:46.061313,"0x6e6d,",[DL],11
19:12:46.071789,"0x6e6d,",[DL],161
19:12:46.111396,"0x6e6d,",[DL],11
19:12:46.116749,"0x6e6d,",[DL],437
19:12:46.211133,"0x6e6d,",[DL],11
19:12:46.239319,"0x6e6d,",[DL],59
19:12:46.424110,"0x6e6d,",[DL],11
19:12:47.000000,"0x6e6d,",[DL],11
19:12:48.000000,"0x6e6d,",[DL],11
19:12:49.000000,"0x6e6d,",[DL],11
19:12:50.000000,"0x6e6d,",[DL],11
19:12:51.000000,"0x6e6d,",[DL],11
19:12:52.000000,"0x6e6d,",[DL],11
19:12:52.990352,"0x6e6d,",[DL],11
19:12:52.993356,"0x6e6d,",[DL],113
19:12:53.375241,"0x6e6d,",[DL],1095
19:12:53.383276,"0x6e6d,",[DL],1095
19:12:53.391697,"0x6e6d,",[DL],1095
19:12:53.431554,"0x6e6d,",[DL],11
19:12:53.621705,"0x6e6d,",[DL],11
19:12:53.624857,"0x6e6d,",[DL],81
19:12:53.625854,"0x6e6d,",[DL],41
19:12:53.626828,"0x6e6d,",[DL],11
19:12:53.644855,"0x6e6d,",[DL],67
19:12:53.645821,"0x6e6d,",[DL],2481
19:12:53.671771,"0x6e6d,",[DL],22
19:12:53.684757,"0x6e6d,",[DL],113
19:12:53.714241,"0x6e6d,",[DL],67
19:12:53.721773,"0x6e6d,",[DL],22
19:12:53.804768,"0x6e6d,",[DL],0
19:12:53.812755,"0x6e6d,",[DL],0
19:12:53.844878,"0x6e6d,",[DL],67
19:12:53.845058,"0x6e6d,",[DL],22
19:12:54.412881,"0x6e6d,",[DL],501
19:12:54.454189,"0x6e6d,",[DL],125
19:12:54.456499,"0x6e6d,",[DL],11
19:12:54.492812,"0x6e6d,",[DL],177
19:12:54.494010,"0x6e6d,",[DL],233
19:12:54.494788,"0x6e6d,",[DL],177
19:12:54.500809,"0x6e6d,",[DL],22
19:12:54.531765,"0x6e6d,",[DL],125
19:12:54.532817,"0x6e6d,",[DL],177
19:12:54.533759,"0x6e6d,",[DL],125
19:12:54.534865,"0x6e6d,",[DL],0
19:12:54.535844,"0x6e6d,",[DL],125
19:12:54.536792,"0x6e6d,",[DL],217
19:12:54.537884,"0x6e6d,",[DL],125
19:12:54.543033,"0x6e6d,",[DL],0
19:12:54.543813,"0x6e6d,",[DL],67
19:12:54.550927,"0x6e6d,",[DL],22
19:12:54.571942,"0x6e6d,",[DL],285
19:12:54.572971,"0x6e6d,",[DL],285
19:12:54.573981,"0x6e6d,",[DL],233
19:12:54.574882,"0x6e6d,",[DL],0
19:12:54.575959,"0x6e6d,",[DL],177
19:12:54.577846,"0x6e6d,",[DL],0
19:12:54.578811,"0x6e6d,",[DL],125
19:12:54.579743,"0x6e6d,",[DL],0
19:12:54.580994,"0x6e6d,",[DL],233
19:12:54.581777,"0x6e6d,",[DL],125
19:12:54.582842,"0x6e6d,",[DL],177
19:12:54.583841,"0x6e6d,",[DL],177
19:12:54.584776,"0x6e6d,",[DL],125
19:12:54.585926,"0x6e6d,",[DL],125
19:12:54.587900,"0x6e6d,",[DL],0
19:12:54.593322,"0x6e6d,",[DL],67
19:12:54.596884,"0x6e6d,",[DL],125
19:12:54.600903,"0x6e6d,",[DL],22
19:12:54.602777,"0x6e6d,",[DL],0
19:12:54.603790,"0x6e6d,",[DL],125
19:12:54.605032,"0x6e6d,",[DL],177
19:12:54.606006,"0x6e6d,",[DL],249
