,time,mean_tbs_dl,mean_tbs_ul,max_tbs_dl,max_tbs_ul,total_dl,total_ul,num_of_packets_dl,num_of_packets_ul,dl_prb,ul_prb,series_mean_dl_prb,series_mean_ul_prb,series_id
0,0.1,52.17204301075269,140.4516129032258,1383.0,1572.0,4852.0,13062.0,16.0,71.0, 16%, 14%,0.39390223463687124,0.17094972067039094,0.0
1,0.2,741.1666666666666,105.66666666666669,2124.0,317.0,4447.0,634.0,4.0,2.0, 21%, 14%,0.39390223463687124,0.17094972067039094,0.0
2,0.3,8.491228070175438,152.3859649122807,269.0,317.0,484.0,8686.0,3.0,50.0, 84%, 10.0%,0.39390223463687124,0.17094972067039094,0.0
3,0.4,19.153846153846157,119.46153846153848,317.0,233.0,747.0,4659.0,5.0,27.0, 64%, 10%,0.39390223463687124,0.17094972067039094,0.0
4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 29%, 9.9%,0.39390223463687124,0.17094972067039094,0.0
5,0.6000000000000001,211.33333333333331,89.66666666666667,317.0,269.0,634.0,269.0,2.0,1.0, 49%, 10%,0.39390223463687124,0.17094972067039094,0.0
6,0.7000000000000001,0.0,278.6,0.0,317.0,0.0,1393.0,0.0,5.0, 52%, 9.1%,0.39390223463687124,0.17094972067039094,0.0
7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 20%, 8.4%,0.39390223463687124,0.17094972067039094,0.0
8,0.9000000000000001,126.99130434782607,116.30434782608695,2385.0,935.0,14604.0,13375.0,25.0,81.0, 17%, 10%,0.39390223463687124,0.17094972067039094,0.0
9,1.0000000000000002,45.4,153.14285714285714,2577.0,1692.0,4767.0,16080.0,11.0,93.0, 44%, 9.6%,0.39390223463687124,0.17094972067039094,0.0
10,1.1000000000000003,14.75,179.21296296296296,357.0,1908.0,1593.0,19355.0,15.0,87.0, 44%, 11%,0.39390223463687124,0.17094972067039094,0.0
11,1.2000000000000004,48.65909090909091,114.20454545454544,871.0,317.0,2141.0,5025.0,6.0,35.0, 17%, 6.5%,0.39390223463687124,0.17094972067039094,0.0
12,1.3000000000000005,50.25806451612903,123.12903225806453,935.0,935.0,3116.0,7634.0,8.0,52.0, 21%, 6.6%,0.39390223463687124,0.17094972067039094,0.0
13,1.4000000000000006,4.333333333333333,168.05128205128204,125.0,453.0,169.0,6554.0,3.0,36.0, 68%, 13%,0.39390223463687124,0.17094972067039094,0.0
14,1.5000000000000009,128.84,157.94,3662.0,749.0,6442.0,7897.0,9.0,41.0, 19%, 22%,0.39390223463687124,0.17094972067039094,0.0
