time,rnti,link,tbs_ul
16:18:11.762175,"0x73a8,",[UL],22
16:18:11.792151,"0x73a8,",[UL],373
16:18:11.839314,"0x73a8,",[UL],89
16:18:11.846163,"0x73a8,",[UL],65
16:18:11.873253,"0x73a8,",[UL],317
16:18:11.912166,"0x73a8,",[UL],317
16:18:12.772241,"0x73a8,",[UL],317
16:18:13.000000,"0x73a8,",[UL],317
16:18:14.000000,"0x73a8,",[UL],317
16:18:15.000000,"0x73a8,",[UL],317
16:18:16.000000,"0x73a8,",[UL],317
16:18:17.000000,"0x73a8,",[UL],317
16:18:18.000000,"0x73a8,",[UL],317
16:18:19.000000,"0x73a8,",[UL],317
16:18:20.000000,"0x73a8,",[UL],317
16:18:21.000000,"0x73a8,",[UL],317
16:18:22.000000,"0x73a8,",[UL],317
16:18:23.000000,"0x73a8,",[UL],317
16:18:24.000000,"0x73a8,",[UL],317
16:18:24.627185,"0x2080,",[UL],22
16:18:24.657153,"0x2080,",[UL],373
16:18:24.665257,"0x2080,",[UL],0
16:18:24.717283,"0x2080,",[UL],373
16:18:24.737204,"0x2080,",[UL],373
16:18:24.753228,"0x2080,",[UL],0
16:18:24.777138,"0x2080,",[UL],317
16:18:25.037252,"0x2080,",[UL],317
16:18:25.057220,"0x2080,",[UL],317
16:18:25.089676,"0x2080,",[UL],317
16:18:25.097209,"0x2080,",[UL],317
16:18:25.157192,"0x2080,",[UL],317
16:18:25.207268,"0x2080,",[UL],317
16:18:25.217251,"0x2080,",[UL],317
16:18:26.167163,"0x2080,",[UL],317
16:18:26.187188,"0x2080,",[UL],317
16:18:26.237259,"0x2080,",[UL],317
16:18:26.257189,"0x2080,",[UL],317
16:18:27.000000,"0x2080,",[UL],317
16:18:27.257199,"0x2080,",[UL],22
16:18:27.264203,"0x2080,",[UL],157
16:18:27.271676,"0x2080,",[UL],157
16:18:27.290603,"0x2080,",[UL],317
16:18:27.327161,"0x2080,",[UL],317
16:18:27.340151,"0x2080,",[UL],149
16:18:27.343280,"0x2080,",[UL],157
16:18:27.567218,"0x2080,",[UL],317
16:18:27.587221,"0x2080,",[UL],317
16:18:27.807188,"0x2080,",[UL],317
16:18:27.827215,"0x2080,",[UL],317
16:18:27.847229,"0x2080,",[UL],317
16:18:27.867230,"0x2080,",[UL],317
16:18:27.887170,"0x2080,",[UL],317
16:18:28.007258,"0x2080,",[UL],317
16:18:28.019250,"0x2080,",[UL],133
16:18:28.025210,"0x2080,",[UL],157
16:18:28.067213,"0x2080,",[UL],317
16:18:28.078223,"0x2080,",[UL],157
16:18:28.127232,"0x2080,",[UL],317
16:18:28.135204,"0x2080,",[UL],0
16:18:28.152142,"0x2080,",[UL],113
16:18:28.177248,"0x2080,",[UL],285
16:18:28.187178,"0x2080,",[UL],105
16:18:28.217224,"0x2080,",[UL],317
16:18:28.227171,"0x2080,",[UL],157
