time,rnti,link,tbs_ul
19:12:36.153665,"0x6e6d,",[UL],22
19:12:36.193606,"0x6e6d,",[UL],373
19:12:36.276202,"0x6e6d,",[UL],373
19:12:36.313534,"0x6e6d,",[UL],373
19:12:36.320608,"0x6e6d,",[UL],373
19:12:36.333571,"0x6e6d,",[UL],373
19:12:36.353685,"0x6e6d,",[UL],373
19:12:36.393645,"0x6e6d,",[UL],373
19:12:36.400805,"0x6e6d,",[UL],1095
19:12:36.673685,"0x6e6d,",[UL],373
19:12:36.713845,"0x6e6d,",[UL],373
19:12:37.000000,"0x6e6d,",[UL],373
19:12:38.000000,"0x6e6d,",[UL],373
19:12:39.000000,"0x6e6d,",[UL],373
19:12:40.000000,"0x6e6d,",[UL],373
19:12:41.000000,"0x6e6d,",[UL],373
19:12:42.000000,"0x6e6d,",[UL],373
19:12:43.000000,"0x6e6d,",[UL],373
19:12:43.173594,"0x6e6d,",[UL],317
19:12:43.393673,"0x6e6d,",[UL],317
19:12:43.453669,"0x6e6d,",[UL],317
19:12:44.000000,"0x6e6d,",[UL],317
19:12:45.000000,"0x6e6d,",[UL],317
19:12:45.996107,"0x6e6d,",[UL],22
19:12:46.001778,"0x6e6d,",[UL],301
19:12:46.003262,"0x6e6d,",[UL],65
19:12:46.033663,"0x6e6d,",[UL],301
19:12:46.053720,"0x6e6d,",[UL],269
19:12:46.101771,"0x6e6d,",[UL],61
19:12:46.103568,"0x6e6d,",[UL],225
19:12:46.183518,"0x6e6d,",[UL],185
19:12:46.184307,"0x6e6d,",[UL],55
19:12:46.216474,"0x6e6d,",[UL],285
19:12:46.273738,"0x6e6d,",[UL],285
19:12:46.413737,"0x6e6d,",[UL],269
19:12:46.536190,"0x6e6d,",[UL],285
19:12:46.544057,"0x6e6d,",[UL],285
19:12:46.560074,"0x6e6d,",[UL],285
19:12:47.000000,"0x6e6d,",[UL],285
19:12:48.000000,"0x6e6d,",[UL],285
19:12:49.000000,"0x6e6d,",[UL],285
19:12:50.000000,"0x6e6d,",[UL],285
19:12:51.000000,"0x6e6d,",[UL],285
19:12:52.000000,"0x6e6d,",[UL],285
19:12:53.000000,"0x6e6d,",[UL],285
19:12:53.013847,"0x6e6d,",[UL],317
19:12:53.416206,"0x6e6d,",[UL],125
19:12:53.423210,"0x6e6d,",[UL],69
19:12:53.473757,"0x6e6d,",[UL],161
19:12:53.613733,"0x6e6d,",[UL],301
19:12:53.633743,"0x6e6d,",[UL],317
19:12:53.653726,"0x6e6d,",[UL],317
19:12:53.673694,"0x6e6d,",[UL],233
19:12:53.693728,"0x6e6d,",[UL],285
19:12:53.702312,"0x6e6d,",[UL],1836
19:12:53.753906,"0x6e6d,",[UL],301
19:12:53.833772,"0x6e6d,",[UL],317
19:12:54.433780,"0x6e6d,",[UL],249
19:12:54.440832,"0x6e6d,",[UL],5072
19:12:54.441767,"0x6e6d,",[UL],5669
19:12:54.442785,"0x6e6d,",[UL],5072
19:12:54.443770,"0x6e6d,",[UL],469
19:12:54.473764,"0x6e6d,",[UL],373
19:12:54.480845,"0x6e6d,",[UL],5861
19:12:54.481802,"0x6e6d,",[UL],5477
19:12:54.482856,"0x6e6d,",[UL],7407
19:12:54.483738,"0x6e6d,",[UL],8324
19:12:54.484789,"0x6e6d,",[UL],7407
19:12:54.485865,"0x6e6d,",[UL],1383
19:12:54.520877,"0x6e6d,",[UL],7407
19:12:54.521784,"0x6e6d,",[UL],7407
19:12:54.522739,"0x6e6d,",[UL],7407
19:12:54.523738,"0x6e6d,",[UL],8324
19:12:54.524797,"0x6e6d,",[UL],8324
19:12:54.525938,"0x6e6d,",[UL],8324
19:12:54.526792,"0x6e6d,",[UL],8324
19:12:54.527802,"0x6e6d,",[UL],8324
19:12:54.528817,"0x6e6d,",[UL],1095
19:12:54.530840,"0x6e6d,",[UL],1479
19:12:54.553768,"0x6e6d,",[UL],373
19:12:54.560808,"0x6e6d,",[UL],7407
19:12:54.561784,"0x6e6d,",[UL],7407
19:12:54.562755,"0x6e6d,",[UL],7407
19:12:54.563783,"0x6e6d,",[UL],8324
19:12:54.564765,"0x6e6d,",[UL],7167
19:12:54.565883,"0x6e6d,",[UL],7167
19:12:54.566870,"0x6e6d,",[UL],7407
19:12:54.567789,"0x6e6d,",[UL],7167
19:12:54.568707,"0x6e6d,",[UL],7167
19:12:54.569781,"0x6e6d,",[UL],7167
19:12:54.570856,"0x6e6d,",[UL],7407
19:12:54.571932,"0x6e6d,",[UL],7167
19:12:54.572955,"0x6e6d,",[UL],7407
19:12:54.573965,"0x6e6d,",[UL],7167
19:12:54.574873,"0x6e6d,",[UL],7167
19:12:54.575936,"0x6e6d,",[UL],7167
19:12:54.576771,"0x6e6d,",[UL],7407
19:12:54.577837,"0x6e6d,",[UL],5861
19:12:54.583833,"0x6e6d,",[UL],0
19:12:54.584760,"0x6e6d,",[UL],2961
19:12:54.585918,"0x6e6d,",[UL],0
19:12:54.594369,"0x6e6d,",[UL],6378
19:12:54.595291,"0x6e6d,",[UL],6378
19:12:54.596870,"0x6e6d,",[UL],6378
19:12:54.597750,"0x6e6d,",[UL],7167
19:12:54.598794,"0x6e6d,",[UL],7167
19:12:54.599761,"0x6e6d,",[UL],7167
19:12:54.600882,"0x6e6d,",[UL],6378
19:12:54.601751,"0x6e6d,",[UL],7167
